Class,STRUTS_2_0_10,STRUTS_2_0_14,STRUTS_2_1_0,STRUTS_2_1_8,STRUTS_2_2_0,STRUTS_2_2_3,STRUTS_2_3_1,STRUTS_2_3_10,STRUTS_2_3_20,STRUTS_2_3_30,STRUTS_2_3_37,STRUTS_2_5,STRUTS_2_5_10,STRUTS_2_5_20,STRUTS_2_5_30,STRUTS_6_0_0,average
core/src/test/java/com/opensymphony/xwork2/config/providers/XmlConfigurationProviderMultilevelTest.java,0,0,0,0,0,0,0,0,0,0,0,70,2,29,0,0,6.3125
core/src/main/java/org/apache/struts2/action/ServletContextAware.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.9375
core/src/main/java/org/apache/struts2/views/TagLibraryModelProvider.java,0,0,0,0,0,0,0,0,45,0,0,0,0,3,0,0,3
trunk/core/src/main/java/org/apache/struts2/components/Label.java,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4375
trunk/core/src/main/java/org/apache/struts2/components/table/RenderFilterModel.java,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75
core/src/main/java/com/opensymphony/xwork2/util/StrutsLocalizedTextProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,43,28.875
trunk/core/src/test/java/org/apache/struts2/TestResult.java,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0625
core/src/main/java/com/opensymphony/xwork2/config/ServletContextAwareConfigurationProvider.java,0,0,0,0,0,0,0,0,0,32,0,0,0,25,0,0,3.5625
core/src/main/java/com/opensymphony/xwork2/conversion/impl/DefaultConversionAnnotationProcessor.java,0,0,0,0,0,0,0,0,0,0,0,76,0,57,0,0,8.3125
xwork-core/src/main/java/com/opensymphony/xwork2/interceptor/PrepareInterceptor.java,0,0,0,0,169,33,0,0,0,0,0,174,0,0,0,0,23.5
core/src/main/java/com/opensymphony/xwork2/inject/util/FinalizableWeakReference.java,0,0,0,0,0,0,0,0,0,0,0,34,0,2,0,0,2.25
core/src/main/java/com/opensymphony/xwork2/validator/validators/URLValidator.java,0,0,0,0,0,0,0,0,0,0,0,100,61,97,0,0,16.125
core/src/test/java/com/opensymphony/xwork2/util/profiling/ProfilingTimerBeanTest.java,0,0,0,0,0,0,0,0,0,0,0,124,0,29,0,127,17.5
