Class,activemq-4.1.0,activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-5.3.0,activemq-5.4.0,activemq-5.5.0,activemq-5.6.0,activemq-5.7.0,activemq-5.8.0,activemq-5.9.0,activemq-5.10.0,activemq-5.11.0,activemq-5.12.0,activemq-5.13.0,activemq-5.14.0,activemq-5.15.0,activemq-5.16.0,activemq-5.17.0,average
activemq-core/src/test/java/org/apache/activemq/openwire/v8/ExceptionResponseTest.java,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.105263158
activemq-ra/src/main/java/org/apache/activemq/ra/ServerSessionPoolImpl.java,54,86,212,22,0,0,8,0,0,0,0,45,0,0,0,17,0,15,0,24.15789474
activemq-core/src/test/java/org/apache/activemq/openwire/v7/RemoveSubscriptionInfoTest.java,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.105263158
activemq-jms-pool/src/test/java/org/apache/activemq/jms/pool/PooledConnectionTempQueueTest.java,0,0,0,0,0,0,0,0,0,0,0,0,118,16,0,2,0,0,0,7.157894737
activemq-core/src/main/java/org/apache/activemq/openwire/v8/KeepAliveInfoMarshaller.java,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.105263158
activemq-unit-tests/src/test/java/org/apache/activemq/store/AbstractMessageStoreSizeTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,5.157894737
activemq-core/src/main/java/org/apache/activemq/transport/discovery/simple/SimpleDiscoveryAgentFactory.java,11,6,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,3.421052632
activemq-broker/src/main/java/org/apache/activemq/filter/XalanXPathEvaluator.java,0,0,0,0,0,0,0,0,0,110,0,85,37,0,0,0,0,0,0,12.21052632
activemq-amqp/src/main/java/org/apache/activemq/transport/amqp/message/InboundTransformer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,267,27,59,164,6,0,27.52631579
activemq-core/src/test/java/org/apache/activemq/openwire/v3/BaseCommandTestSupport.java,0,41,0,0,0,0,2,0,0,41,0,0,0,0,0,0,0,0,0,4.421052632
activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQJmsHeaderRouteTest.java,0,0,0,98,30,0,10,8,19,0,0,0,0,0,0,0,0,0,99,13.89473684
activemq-core/src/main/java/org/apache/activemq/openwire/v6/ControlCommandMarshaller.java,0,0,0,0,0,129,2,0,0,129,0,0,0,0,0,0,0,0,0,13.68421053
activemq-unit-tests/src/test/java/org/apache/activemq/advisory/TempQueueMemoryTest.java,0,0,0,0,0,0,0,0,0,169,30,0,0,0,0,0,0,0,0,10.47368421
activemq-core/src/test/java/org/apache/activemq/transport/failover/BadConnectionTest.java,17,19,0,0,0,0,8,0,0,77,0,0,0,0,0,0,0,0,0,6.368421053
activemq-mqtt/src/main/java/org/apache/activemq/transport/mqtt/MQTTPacketIdGenerator.java,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,9.263157895
activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/ReadOnlyAsyncDataManager.java,0,0,131,0,2,0,6,0,0,133,0,0,0,0,0,0,0,0,0,14.31578947
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v3/LocalTransactionIdMarshaller.java,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,6.789473684
activemq-core/src/test/java/org/apache/activemq/transport/StubTransport.java,18,25,0,0,0,6,2,0,0,57,0,0,0,0,0,0,0,0,0,5.684210526
activemq-http/src/test/java/org/apache/activemq/transport/ws/StompWSTransportTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,283,14,51,32,2,3,20.26315789
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v2/RemoveInfoMarshaller.java,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,6.842105263
activemq-core/src/main/java/org/apache/activemq/store/amq/AMQMessageStore.java,0,523,119,7,145,15,13,0,0,584,0,0,0,0,0,0,0,0,0,74
activemq-unit-tests/src/test/java/org/apache/activemq/broker/AMQ4351Test.java,0,0,0,0,0,0,0,0,0,0,260,0,0,9,0,0,0,0,0,14.15789474
