Class,cxf-2.2,cxf-2.3.0,cxf-2.4.0,cxf-2.5.0,cxf-2.6.0,cxf-2.7.0,cxf-3.0.0,cxf-3.1.0,cxf-3.2.0,cxf-3.3.0,cxf-3.4.0,cxf-3.5.0,cxf-3.5.3,average
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/model/UserApplication.java,0,0,0,0,0,0,0,0,74,0,0,0,0,5.692307692
integration/jca/src/main/java/org/apache/cxf/jca/outbound/CXFConnection.java,0,0,0,0,50,0,0,0,12,0,0,0,0,4.769230769
rt/rs/description/src/main/java/org/apache/cxf/jaxrs/swagger/SwaggerFeature.java,0,0,0,0,0,0,138,101,203,0,0,0,0,34
rt/databinding/aegis/src/main/java/org/apache/cxf/aegis/AegisElementDataWriter.java,0,11,0,0,0,0,0,0,8,1,0,0,0,1.538461538
distribution/src/main/release/samples/js_browser_client_simple/src/demo/hw/server/Server.java,2,0,0,41,0,0,0,0,0,0,0,0,0,3.307692308
systests/uncategorized/src/test/java/org/apache/cxf/systest/soap/WrappedEncodedSoapActionGreeterImpl.java,0,0,0,0,0,40,0,0,2,0,0,0,0,3.230769231
core/src/main/java/org/apache/cxf/transport/DestinationFactoryManager.java,0,0,0,0,0,0,57,0,6,16,0,0,0,6.076923077
rt/core/src/test/java/org/apache/cxf/bus/extension/ExtensionTest.java,0,8,0,0,2,10,101,0,0,0,0,0,0,9.307692308
systests/ws-security-examples/src/test/java/org/apache/cxf/systest/wssec/examples/ut/Server.java,0,0,0,0,0,0,47,0,0,0,0,0,0,3.615384615
rt/databinding/aegis/src/main/java/org/apache/cxf/aegis/type/basic/BooleanType.java,12,4,0,0,0,0,0,0,0,0,0,0,0,1.230769231
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/JAXRSMultipartLocalTransportTest.java,0,0,0,0,0,0,0,0,0,0,0,88,0,6.769230769
rt/rs/security/jose-parent/jose/src/main/java/org/apache/cxf/rs/security/jose/common/PrivateKeyPasswordProvider.java,0,0,0,0,0,0,0,0,25,0,25,0,0,3.846153846
systests/src/test/java/org/apache/cxf/systest/type_substitution/Apple.java,0,51,0,0,0,0,0,0,0,0,0,0,0,3.923076923
rt/ws/policy/src/main/java/org/apache/cxf/ws/policy/AssertionBuilderRegistryImpl.java,13,34,85,0,4,0,0,0,21,0,0,0,0,12.07692308
rt/databinding/aegis/src/test/java/org/apache/cxf/aegis/inheritance/ws1/RootBean.java,0,0,0,0,0,0,5,6,0,0,0,0,0,0.846153846
api/src/main/java/org/apache/cxf/common/util/ModCountCopyOnWriteArrayList.java,0,0,0,0,154,0,154,0,0,0,0,0,0,23.69230769
rt/rs/extensions/search/src/main/java/org/apache/cxf/jaxrs/ext/search/SearchBean.java,0,0,0,0,0,57,0,0,17,0,0,0,0,5.692307692
distribution/src/main/release/samples/ws_addressing/src/demo/ws_addressing/common/ConciseFormatter.java,0,0,0,33,0,0,0,0,0,0,0,0,0,2.538461538
distribution/src/main/release/samples/jaxws_handlers/src/main/java/demo/handlers/common/SmallNumberHandler.java,0,0,0,135,0,0,0,0,10,9,0,0,0,11.84615385
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/BookInterface.java,0,45,0,0,0,0,0,4,8,0,0,0,0,4.384615385
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/blueprint/BlueprintResourceFactory.java,0,0,109,0,6,0,16,0,6,0,0,0,0,10.53846154
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/springmvc/SpringViewResolverProvider.java,0,0,0,0,0,0,0,0,0,136,0,0,0,10.46153846
systests/transport-jms/src/test/java/org/apache/cxf/systest/jms/GreeterImplTwoWayJMSRuntimeCorrelationIDStaticPrefixSales.java,0,0,32,64,0,0,32,0,0,0,0,0,0,9.846153846
api/src/main/java/org/apache/cxf/interceptor/InFaultChainInitiatorObserver.java,0,0,0,0,83,0,83,0,0,0,0,0,0,12.76923077
rt/rs/security/jose-parent/jose/src/main/java/org/apache/cxf/rs/security/jose/jws/JwsCompactConsumer.java,0,0,0,0,0,0,0,0,138,0,7,0,0,11.15384615
rt/rs/security/oauth-parent/oauth2/src/main/java/org/apache/cxf/rs/security/oauth2/common/AbstractFormImplicitResponse.java,0,0,0,0,0,0,0,0,59,2,0,0,0,4.692307692
distribution/src/main/release/samples/jax_rs/sse_cdi/src/main/java/demo/jaxrs/sse/StatsServer.java,0,0,0,0,0,0,0,0,63,2,0,0,0,5
services/sts/systests/advanced/src/test/java/org/apache/cxf/systest/sts/kerberos/Server.java,0,0,0,46,0,0,0,0,0,0,0,46,0,7.076923077
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/security/SecureBookStoreNoAnnotations.java,0,56,0,0,0,0,0,4,8,0,0,0,0,5.230769231
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/provider/JAXBElementTypedProvider.java,0,0,0,0,0,0,0,0,48,0,0,0,0,3.692307692
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/provider/ResponseBuilderImpl.java,170,0,0,0,0,0,0,0,0,0,0,0,0,13.07692308
tools/common/src/main/java/org/apache/cxf/tools/common/toolspec/parser/TokenInputStream.java,0,2,0,0,0,0,0,0,0,0,4,0,0,0.461538462
common/common/src/main/java/org/apache/cxf/management/annotation/ManagedNotifications.java,0,0,0,0,37,0,0,0,0,0,0,0,0,2.846153846
systests/jaxws/src/test/java/org/apache/cxf/systest/jaxws/LocatorServiceImpl.java,0,113,0,9,0,0,0,2,24,0,0,0,0,11.38461538
rt/rs/security/jose-parent/jose/src/main/java/org/apache/cxf/rs/security/jose/jwe/WrappedKeyDecryptionAlgorithm.java,0,0,0,0,0,0,0,0,96,0,7,0,0,7.923076923
core/src/main/java/org/apache/cxf/bus/spring/Jsr250BeanPostProcessor.java,0,0,0,0,0,0,157,0,24,0,9,4,0,14.92307692
systests/ws-security-examples/src/test/java/org/apache/cxf/systest/wssec/examples/common/TestParam.java,0,0,0,0,0,0,45,0,8,0,0,0,0,4.076923077
services/sts/sts-core/src/main/java/org/apache/cxf/sts/token/realm/CertConstraintsParser.java,0,0,0,93,0,0,0,11,15,0,0,0,0,9.153846154
rt/rs/security/jose/src/main/java/org/apache/cxf/rs/security/jose/jwe/JweJsonEncryptionEntry.java,0,0,0,0,0,0,0,60,60,0,0,0,0,9.230769231
systests/transport-jms/src/test/java/org/apache/cxf/systest/jms/GreeterImplTwoWayJMSAppCorrelationIDNoPrefix.java,0,0,32,64,0,0,32,0,0,0,0,0,0,9.846153846
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/description/openapi/OpenApiServer.java,0,0,0,0,0,0,0,0,0,82,46,0,0,9.846153846
rt/wsdl/src/main/java/org/apache/cxf/wsdl11/SchemaSerializer.java,0,0,0,0,0,0,61,0,2,0,0,0,0,4.846153846
rt/core/src/test/java/org/apache/cxf/bus/spring/BusApplicationContextTest.java,15,0,0,0,0,0,46,0,0,0,0,0,0,4.692307692
systests/src/test/java/org/apache/cxf/systest/nested_callback/CallbackImpl.java,0,42,0,0,0,0,0,0,0,0,0,0,0,3.230769231
rt/transports/websocket/src/main/java/org/apache/cxf/transport/websocket/ahc/AhcWebSocketConduitRequest.java,0,0,0,0,0,0,0,88,4,0,0,0,0,7.076923077
rt/features/metrics/src/main/java/org/apache/cxf/metrics/micrometer/provider/jaxws/JaxwsFaultCodeProvider.java,0,0,0,0,0,0,0,0,0,0,0,48,0,3.692307692
api/src/main/java/org/apache/cxf/common/xmlschema/SchemaCollection.java,0,0,0,0,388,0,388,0,0,0,0,0,0,59.69230769
rt/rs/http-sci/src/main/java/org/apache/cxf/jaxrs/servlet/sci/JaxrsServletContainerInitializer.java,0,0,0,0,0,0,0,196,58,13,0,0,0,20.53846154
common/common/src/main/java/org/apache/cxf/common/util/XMLSchemaQNames.java,1,0,0,0,62,0,0,0,0,0,0,0,0,4.846153846
rt/databinding/aegis/src/test/java/org/apache/cxf/aegis/services/BeanWithDOM.java,0,78,0,0,0,0,0,0,10,0,0,0,0,6.769230769
rt/frontend/simple/src/main/java/org/apache/cxf/frontend/ClientProxy.java,16,0,0,37,1,0,22,0,9,2,0,0,0,6.692307692
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/security/SecureBookInterfaceGenerics.java,0,0,0,0,0,0,38,0,0,0,0,0,0,2.923076923
rt/databinding/jibx/src/test/java/org/apache/cxf/jibx/PrimitiveTypesTest.java,0,0,78,0,0,0,0,0,78,0,0,0,0,12
services/sts/sts-core/src/test/java/org/apache/cxf/sts/token/provider/SAMLProviderRealmTest.java,0,0,0,160,0,0,18,0,119,20,42,1,0,27.69230769
rt/frontend/jaxws/src/main/java/org/apache/cxf/jaxws/context/WrappedAttachments.java,0,0,0,0,0,0,200,0,26,4,2,0,0,17.84615385
systests/ws-specs/src/test/java/org/apache/cxf/systest/ws/addr_fromjava/server/Server.java,0,50,0,0,6,23,0,0,6,0,0,0,0,6.538461538
rt/ws/security/src/main/java/org/apache/cxf/ws/security/trust/claims/RoleClaimsCallbackHandler.java,0,0,0,0,0,0,0,67,12,2,0,0,0,6.230769231
rt/frontend/jaxws/src/main/java/org/apache/cxf/jaxws/BindingProviderImpl.java,6,101,0,0,0,0,0,0,0,0,0,0,0,8.230769231
core/src/test/java/org/apache/cxf/resource/DefaultResourceManagerTest.java,0,0,0,0,0,0,0,0,178,10,0,0,0,14.46153846
rt/core/src/main/java/org/apache/cxf/interceptor/security/AuthenticationException.java,0,0,25,3,2,0,30,0,0,0,0,0,0,4.615384615
rt/bindings/corba/src/main/java/org/apache/cxf/binding/corba/types/CorbaPrimitiveListener.java,0,0,0,0,0,0,0,0,4,0,0,0,0,0.307692308
distribution/src/main/release/samples/wsdl_first_https/src/main/java/demo/hw_https/server/GreeterImpl.java,0,0,0,43,0,2,0,0,10,0,0,0,0,4.230769231
services/sts/systests/basic/src/test/java/org/apache/cxf/systest/sts/jaas/Server.java,0,0,0,0,0,0,0,46,0,0,0,46,0,7.076923077
tools/corba/src/main/java/org/apache/cxf/tools/corba/common/idltypes/IdlField.java,0,0,0,0,0,0,0,0,6,0,0,0,0,0.461538462
tools/validator/src/main/java/org/apache/cxf/tools/validator/internal/model/XPort.java,2,0,0,0,0,0,2,0,0,0,0,0,0,0.307692308
systests/src/test/java/org/apache/cxf/systest/provider/HWSAXSourceMessageProvider.java,0,89,0,0,0,0,0,0,0,0,0,0,0,6.846153846
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/interceptor/AttachmentInputInterceptor.java,48,0,0,0,0,0,0,0,12,0,0,0,0,4.615384615
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/model/wadl/ElementQNameResolver.java,0,28,0,0,0,0,28,0,0,0,0,0,0,4.307692308
rt/ws/addr/src/main/java/org/apache/cxf/ws/addressing/blueprint/WsBPHandler.java,0,0,50,0,1,0,2,0,7,0,0,0,0,4.615384615
rt/transports/http-netty/netty-server/src/main/java/org/apache/cxf/transport/http/netty/server/ServerEngine.java,0,0,0,0,0,0,42,0,0,0,0,0,0,3.230769231
rt/rs/security/cors/src/main/java/org/apache/cxf/rs/security/cors/LocalPreflight.java,0,0,0,0,39,0,0,0,4,0,0,0,0,3.307692308
services/sts/sts-core/src/test/java/org/apache/cxf/sts/token/provider/CustomAuthenticationProvider.java,0,0,0,44,11,0,10,0,10,0,0,0,0,5.769230769
rt/core/src/test/java/org/apache/cxf/configuration/foo/Foo.java,0,0,0,0,0,0,188,0,0,0,0,0,0,14.46153846
distribution/src/main/release/samples/jax_rs/odata/src/main/java/odata/server/JaxrsODataService.java,0,0,0,0,0,0,0,0,0,56,0,0,0,4.307692308
rt/core/src/main/java/org/apache/cxf/clustering/RetryStrategy.java,0,44,0,35,77,0,0,0,0,0,0,0,0,12
systests/ws-specs/src/test/java/org/apache/cxf/systest/ws/policy/ReliableGreeterImpl.java,0,36,0,0,0,0,0,0,2,0,0,0,0,2.923076923
distribution/src/main/release/samples/jms_pubsub/src/demo/jms_greeter/server/Server.java,0,0,0,41,0,0,0,0,0,0,0,0,0,3.153846154
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/description/SwaggerRegularServiceDescriptionTest.java,0,0,0,0,0,0,0,47,47,0,0,0,0,7.230769231
systests/src/test/java/org/apache/cxf/systest/jaxrs/BookExceptionMapper.java,41,41,0,0,0,0,0,0,0,0,0,0,0,6.307692308
rt/frontend/jaxws/src/main/generated/org/apache/cxf/jaxws/javaee/DescriptionType.java,0,0,0,0,0,0,84,0,0,0,0,0,0,6.461538462
testutils/src/main/java/org/apache/cxf/ordered_param_holder/OrderedParamHolderImpl.java,0,0,0,0,0,2,0,0,9,0,0,0,0,0.846153846
api/src/main/java/org/apache/cxf/transport/DestinationFactoryManager.java,0,0,0,0,0,0,57,0,0,0,0,0,0,4.384615385
tools/wsdlto/frontend/jaxws/src/test/java/org/apache/cxf/tools/wsdlto/frontend/jaxws/customization/CustomizationParserTest.java,0,0,0,0,0,0,25,0,0,5,0,0,0,2.307692308
maven-plugins/wadl2java-plugin/src/main/java/org/apache/cxf/maven_plugin/wadlto/WadlOption.java,0,0,0,170,2,0,0,41,22,2,3,0,0,18.46153846
