Class,drill-0.4.0,drill-0.7.0,drill-0.8.0,drill-0.9.0,drill-1.0.0,drill-1.1.0,drill-1.2.0,drill-1.3.0,drill-1.4.0,drill-1.5.0,drill-1.6.0,drill-1.7.0,drill-1.8.0,drill-1.9.0,drill1.10.0,drill-1.11.0,drill-1.12.0,drill-1.13.0,drill-1.14.0,drill-1.15.0,drill-1.16.0,drill-1.17.0,drill-1.18.0,drill-1.19.0,drill-1.20.0,average
contrib/format-maprdb/src/main/java/org/apache/drill/exec/store/mapr/db/MapRDBCost.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,4.16
exec/java-exec/src/main/java/org/apache/drill/exec/store/sys/SystemTablePluginConfig.java,38,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,2.48
exec/rpc/src/main/java/org/apache/drill/exec/rpc/Acks.java,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1.36
protocol/src/main/java/org/apache/drill/exec/proto/beans/LikeFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,185,22,0,0,0,0,2,0,0,185,0,0,0,15.76
contrib/format-hdf5/src/main/java/org/apache/drill/exec/store/hdf5/HDF5DrillMetadata.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,13,0,2.84
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/SortPrel.java,114,20,0,30,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,50,0,0,2,0,14,9.52
exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/DirectCodecPool.java,0,0,0,0,187,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96
contrib/storage-jdbc/src/main/java/org/apache/drill/exec/store/jdbc/JdbcScanBatchCreator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2.88
exec/java-exec/src/main/java/org/apache/drill/exec/physical/base/AbstractDbGroupScan.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,2,0,1,0,0,3.92
contrib/format-iceberg/src/main/java/org/apache/drill/exec/store/iceberg/snapshot/SnapshotFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,5.08
