Class,Xerces-J_1_1_0,Xerces-J_1_2_0,Xerces-J_1_3_0,Xerces-J_1_4_0,Xerces-J_2_0_0,Xerces-J_2_1_0,Xerces-J_2_2_0,Xerces-J_2_3_0,Xerces-J_2_4_0,Xerces-J_2_5_0,Xerces-J_2_6_0,Xerces-J_2_7_0,Xerces-J_2_8_0,Xerces-J_2_9_0,Xerces-J_2_10_0,Xerces-J_2_11_0,Xerces-J_2_12_0,average
src/org/apache/xerces/impl/xs/identity/XPathMatcher.java,0,0,0,0,693,232,20,6,0,15,124,103,0,67,18,0,0,75.17647059
src/org/apache/xerces/xni/XMLDocumentHandler.java,0,0,0,0,339,10,17,26,0,0,0,67,0,11,0,0,0,27.64705882
src/org/apache/xerces/impl/xs/XSModelImpl.java,0,0,0,0,0,426,4,82,0,49,26,203,0,15,447,43,0,76.17647059
src/org/apache/xerces/impl/xpath/regex/BMPattern.java,0,0,0,0,272,2,0,0,0,0,0,69,0,11,6,0,0,21.17647059
src/org/w3c/dom/ls/LSResourceResolver.java,0,0,0,0,0,0,0,0,0,0,77,77,0,0,0,0,0,9.058823529
src/org/apache/xerces/framework/XMLContentSpec.java,478,252,6,20,652,0,0,0,0,0,0,0,0,0,0,0,0,82.82352941
src/org/apache/xerces/impl/dv/DatatypeValidator.java,0,0,0,0,85,8,0,0,0,0,0,69,0,11,1,0,0,10.23529412
src/org/apache/xerces/jaxp/validation/EmptyXMLSchema.java,0,0,0,0,0,0,0,0,0,0,0,76,11,11,0,0,0,5.764705882
src/org/apache/xerces/xni/grammars/XMLGrammarPool.java,0,0,0,0,122,16,0,0,0,0,62,67,0,11,0,0,0,16.35294118
src/org/apache/xerces/parsers/SecuritySupport.java,0,0,0,0,0,0,0,0,0,0,0,148,0,13,28,0,0,11.11764706
src/org/apache/xerces/impl/xs/SchemaSymbols.java,0,0,0,0,374,287,2,0,0,1,0,72,0,11,0,0,0,43.94117647
src/org/apache/xerces/util/ShadowedSymbolTable.java,0,0,0,0,0,159,0,0,0,0,0,69,0,11,0,0,0,14.05882353
src/org/apache/xerces/dom/DOMInputImpl.java,0,0,0,0,0,0,0,0,0,428,22,68,0,11,6,0,0,31.47058824
src/org/apache/xerces/dom/events/MutationEventImpl.java,3,0,16,0,7,5,0,0,0,0,0,69,0,11,98,0,0,12.29411765
