Class,cassandra-0.4.0-final,cassandra-0.5.0,cassandra-0.6.0,cassandra-0.7.0,cassandra-0.8.0,cassandra-1.0.0,cassandra-1.1.0,cassandra-1.2.0,cassandra-2.0.0,cassandra-2.1.0,cassandra-2.2.0,cassandra-3.0.0,cassandra-3.1,cassandra-3.2,cassandra-3.3,cassandra-3.4,cassandra-3.5,cassandra-3.6,cassandra-3.7,cassandra-3.8,cassandra-4.0.0,cassandra-4.0.5,average
src/java/org/apache/cassandra/transport/CBUtil.java,0,0,0,0,0,0,0,314,15,338,124,7,0,0,0,0,0,78,0,0,127,0,45.59090909
src/java/org/apache/cassandra/dht/tokenallocator/TokenAllocatorBase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,15.40909091
src/java/org/apache/cassandra/db/columniterator/LazyColumnIterator.java,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,9.090909091
test/unit/org/apache/cassandra/service/SerializationsTest.java,0,0,0,0,105,34,42,42,198,6,17,61,0,0,0,0,0,0,0,0,151,0,29.81818182
src/java/org/apache/cassandra/index/sasi/analyzer/filter/StopWordFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,2,22,0,5.636363636
interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,0,0,358,103,76,38,26,28,213,35,0,0,0,0,0,0,0,0,0,0,465,0,61
src/java/org/apache/cassandra/net/Crc.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,6.181818182
test/unit/org/apache/cassandra/db/repair/CompactionManagerGetSSTablesForValidationTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,8.227272727
test/unit/org/apache/cassandra/tools/OfflineToolUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,2,11
src/java/org/apache/cassandra/db/rows/RowIterators.java,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,17,0,0,0,9,20,0,6
test/unit/org/apache/cassandra/db/RowUpdateBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,78,0,12.45454545
