Class,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,average
src/org/apache/pig/builtin/PigStreaming.java,0,0,0,0,93,0,0,0,0,41,0,0,0,0,0,8.933333333
src/org/apache/pig/impl/io/BinStorageRecordWriter.java,0,0,0,0,73,4,0,0,0,0,0,0,0,0,0,5.133333333
contrib/penny/java/src/main/java/org/apache/pig/penny/apps/bt/BTInjectTaintMonitorAgent.java,0,0,0,0,0,0,66,0,66,0,0,0,0,0,0,8.8
contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/evaluation/util/TestToBagToTuple.java,0,0,0,0,0,68,0,0,0,0,0,0,0,0,2,4.666666667
src/org/apache/pig/backend/hadoop/executionengine/tez/runtime/WeightedRangePartitionerTez.java,0,0,0,0,0,0,0,0,0,0,0,80,0,0,6,5.733333333
src/org/apache/pig/newplan/logical/relational/LogicalSchema.java,0,0,0,0,0,400,765,34,0,0,0,0,0,45,33,85.13333333
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/IntMin.java,80,0,0,0,3,0,0,0,0,0,40,2,0,0,0,8.333333333
test/org/apache/pig/test/TestCommit.java,0,0,155,0,21,11,0,74,60,23,0,0,3,0,0,23.13333333
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/xml/XPathAll.java,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,21.26666667
contrib/zebra/src/test/org/apache/hadoop/zebra/io/TestDuplicateMapKeyInDifferentCGs.java,0,0,0,85,0,0,0,0,0,0,85,0,0,0,0,11.33333333
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/RegExLoader.java,0,0,0,7,82,14,0,0,0,0,0,0,0,0,0,6.866666667
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POFRJoinSpark.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,7.666666667
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigGenericMapBase.java,0,0,0,0,0,0,0,327,26,3,102,7,10,21,0,33.06666667
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/DBStorage.java,0,0,0,0,0,300,0,0,7,0,109,4,0,6,0,28.4
src/org/apache/pig/data/DefaultDataBag.java,75,0,0,17,3,4,0,2,20,1,0,0,0,0,26,9.866666667
src/org/apache/pig/newplan/logical/expression/AddExpression.java,0,0,0,0,0,83,2,0,0,0,0,0,0,0,0,5.666666667
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestCollection.java,0,289,0,8,93,2,0,0,1,0,221,0,0,0,0,40.93333333
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/SQRT.java,50,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.733333333
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestOrderPreserveUnionHDFS.java,0,0,0,0,268,113,0,0,0,0,199,0,0,0,0,38.66666667
src/org/apache/pig/newplan/logical/visitor/StoreAliasSetter.java,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,2.466666667
