Class,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-1.0.0,release-1.1.0,release-1.2.0,release-2.0.0,rel/release-2.1.0,rel/release-2.2.0,rel/release-2.3.0,rel/release-3.0.0,rel/release-3.1.0,rel/release-3.1.3,average
hcatalog/hcatalog-pig-adapter/src/test/java/org/apache/hive/hcatalog/pig/TestHCatLoaderComplexSchema.java,0,0,0,0,0,0,0,0,304,20,111,0,0,7,0,0,3,5,55,12,0,24.61904762
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/VectorMapJoinRowBytesContainer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,318,17,24,0,0,321,0,0,32.38095238
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/metrics/PerfLogger.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,9.238095238
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/events/PreDropSchemaVersionEvent.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1.857142857
ql/src/test/org/apache/hadoop/hive/ql/index/SplitFilterTestCase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,153,0,0,14.57142857
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDTF.java,0,84,41,15,0,4,0,10,0,20,0,0,0,0,0,0,0,0,7,0,0,8.619047619
ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorDateDiff.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,21.85714286
orc/src/java/org/apache/hive/orc/TimestampColumnStatistics.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,3.619047619
standalone-metastore/src/test/java/org/apache/hadoop/hive/metastore/client/TestAddPartitionsFromPartSpec.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,0,0,50.0952381
hcatalog/src/test/e2e/hcatalog/udfs/java/org/apache/hive/hcatalog/utils/HCatTestDriver.java,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,2,0,0,2.904761905
ql/src/java/org/apache/hadoop/hive/ql/exec/mr/JobDebugger.java,0,0,0,0,0,0,0,0,336,14,0,0,0,0,0,18,0,0,2,0,0,17.61904762
ql/src/test/org/apache/hadoop/hive/ql/optimizer/listbucketingpruner/TestDynamicMultiDimeCollection.java,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,2,0,0,7.428571429
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/PushdownTuple.java,0,0,0,0,0,0,0,0,0,0,110,0,0,0,5,2,0,0,0,0,0,5.571428571
metastore/src/java/org/apache/hadoop/hive/metastore/events/PreReadTableEvent.java,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,43,0,0,4.095238095
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/messaging/AlterCatalogMessage.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1.380952381
ql/src/java/org/apache/hadoop/hive/ql/io/orc/FixAcidKeyIndex.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,18
ql/src/java/org/apache/hadoop/hive/ql/security/authorization/plugin/HiveAuthorizerFactory.java,0,0,0,0,0,0,0,0,0,45,4,0,2,0,0,0,0,0,2,0,0,2.523809524
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFMkCollectionEvaluator.java,0,0,0,0,0,0,0,0,0,166,6,0,4,7,21,0,0,0,4,0,0,9.904761905
common/src/java/org/apache/hive/common/util/DateUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,19,0,20,6,2,0,5.857142857
llap-server/src/java/org/apache/hadoop/hive/llap/metrics/LlapDaemonIOInfo.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,5,0,0,2.571428571
hcatalog/webhcat/svr/src/test/java/org/apache/hcatalog/templeton/mock/MockExecService.java,0,0,0,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,4.666666667
ql/src/java/org/apache/hadoop/hive/ql/io/SymbolicInputFormat.java,0,0,0,0,87,0,23,0,4,0,0,0,3,0,0,7,0,38,2,0,0,7.80952381
ql/src/java/org/apache/hadoop/hive/ql/exec/spark/status/SparkStageProgress.java,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,2,0,0,3.904761905
orc/src/java/org/apache/orc/FileMetadata.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2,64,0,0,0,0,6.19047619
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveProjectSortTransposeRule.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,5,0,74,0,0,7.714285714
standalone-metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/GetOpenTxnsInfoResponse.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,0,25.80952381
common/src/java/org/apache/hadoop/hive/common/type/TimestampUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,8.142857143
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/FileOutputFormatContainer.java,0,0,0,0,0,0,0,0,253,46,23,0,2,8,3,0,0,6,6,0,0,16.52380952
llap-server/src/java/org/apache/hadoop/hive/llap/cache/LlapDataBuffer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,12,7,0,121,0,0,13.42857143
orc/src/java/org/apache/hive/orc/StringColumnStatistics.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,3.904761905
serde/src/test/org/apache/hadoop/hive/serde2/SerdeRandomRowSource.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,28,629,5,0,51.66666667
ql/src/java/org/apache/hadoop/hive/ql/plan/createFunctionDesc.java,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.523809524
hcatalog/src/test/e2e/hcatalog/udfs/java/org/apache/hive/hcatalog/utils/ReadRC.java,0,0,0,0,0,0,0,0,113,5,0,0,0,0,0,0,0,0,2,0,0,5.714285714
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFPower.java,0,0,0,0,0,0,0,0,0,134,0,0,0,4,0,0,0,0,2,0,0,6.666666667
ql/src/java/org/apache/hadoop/hive/ql/plan/DropTableDesc.java,0,0,105,0,25,17,19,21,0,65,20,0,0,28,26,0,0,27,23,0,0,17.9047619
testutils/ptest2/src/main/java/org/apache/hive/ptest/api/request/TestStopRequest.java,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1.904761905
ql/src/java/org/apache/hadoop/hive/ql/hooks/PostExecutePrinter.java,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,12,0,6,2,0,0,9.285714286
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezJobExecHelper.java,0,0,0,0,0,0,0,0,0,0,49,0,0,0,6,0,32,0,2,0,0,4.238095238
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/StringGroupColConcatVarCharScalar.java,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,6,52,0,5.238095238
