Class,rel/1.2,rel/1.3,rel/1.4,rel/1.5,rel/1.6.0,rel/1.7.0,rel/1.8.0,rel/1.9.0,rel/1.10.0,rel/1.10.12,average
src/testcases/org/apache/tools/ant/taskdefs/optional/splash/SplashScreenTest.java,0,0,0,0,92,92,0,0,0,0,18.4
src/main/org/apache/tools/ant/types/resources/First.java,0,0,0,0,0,70,31,8,3,16,12.8
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Submit.java,0,98,0,50,70,102,0,154,0,0,47.4
src/main/org/apache/tools/ant/taskdefs/cvslib/ChangeLogTask.java,0,0,0,438,32,287,98,3,3,163,102.4
src/main/org/apache/tools/ant/taskdefs/optional/extension/resolvers/URLResolver.java,0,0,0,161,75,136,0,2,1,19,39.4
src/antidote/org/apache/tools/ant/gui/modules/console/BuildConsole.java,0,336,336,0,0,0,0,0,0,0,67.2
src/testcases/org/apache/tools/ant/taskdefs/condition/EqualsTest.java,0,0,0,94,4,94,0,0,0,0,19.2
src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTestRunner.java,350,50,87,257,201,787,174,189,383,547,302.5
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4sync.java,257,257,0,0,0,0,0,0,0,0,51.4
proposal/myrmidon/src/java/org/apache/ant/convert/core/StringToFileConverter.java,0,35,35,0,0,0,0,0,0,0,7
src/testcases/org/apache/tools/ant/taskdefs/BasenameTest.java,0,0,0,103,36,121,0,0,0,0,26
proposal/myrmidon/src/java/org/apache/myrmidon/components/builder/ReactorPIHandler.java,0,0,59,59,0,0,0,0,0,0,11.8
src/tests/junit/org/apache/tools/ant/types/selectors/TokenizedPatternTest.java,0,0,0,0,0,0,0,57,134,154,34.5
src/main/org/apache/tools/ant/taskdefs/optional/junit/AggregateTransformer.java,0,529,473,174,76,228,17,1,101,90,168.9
proposal/mutant/src/java/common/org/apache/ant/common/event/BuildListener.java,0,0,0,119,119,0,0,0,0,0,23.8
src/main/org/apache/tools/ant/taskdefs/email/MimeMailer.java,0,0,0,181,173,212,90,16,85,99,85.6
src/testcases/org/example/tasks/TaskdefTestContainerTask.java,0,0,0,61,2,61,0,0,0,0,12.4
src/main/org/apache/tools/ant/taskdefs/compilers/CompilerAdapterExtension.java,0,0,0,0,0,0,0,40,4,2,4.6
src/main/org/apache/tools/ant/types/optional/imageio/DrawOperation.java,0,0,0,0,0,0,0,0,0,39,3.9
src/main/org/apache/tools/ant/taskdefs/SignJar.java,7,91,168,187,87,600,37,76,82,117,145.2
src/etc/testcases/types/assertions/AssertionTest.java,0,0,0,0,66,95,0,0,0,50,21.1
src/tests/junit/org/apache/tools/ant/taskdefs/UntarTest.java,0,0,0,0,0,92,0,0,71,31,19.4
src/main/org/apache/tools/ant/taskdefs/rmic/XNewRmic.java,0,0,0,0,0,52,0,0,2,14,6.8
src/main/org/apache/tools/ant/types/optional/ScriptMapper.java,0,0,0,0,0,93,0,8,4,16,12.1
src/main/org/apache/tools/ant/util/WeakishReference.java,0,0,0,0,147,160,0,0,0,9,31.6
proposal/myrmidon/src/java/org/apache/myrmidon/components/type/TypeException.java,0,0,40,40,0,0,0,0,0,0,8
src/tests/junit/org/apache/tools/zip/ZipEntryTest.java,0,0,0,0,0,118,94,20,438,452,112.2
src/main/org/apache/tools/ant/taskdefs/compilers/Jikes.java,0,205,16,50,47,146,77,0,2,17,56
proposal/myrmidon/src/java/org/apache/myrmidon/libs/runtime/ConverterDef.java,0,0,101,101,0,0,0,0,0,0,20.2
src/tests/junit/org/apache/tools/ant/types/XMLCatalogBuildFileTest.java,0,0,0,0,0,96,0,0,194,196,48.6
src/main/org/apache/tools/ant/types/selectors/ContainsRegexpSelector.java,0,0,0,0,193,95,12,53,11,92,45.6
src/testcases/org/apache/tools/ant/types/DescriptionTest.java,0,0,102,8,2,102,0,0,0,0,21.4
src/etc/testcases/taskdefs/fixcrlf/expected/Junk9.java,0,0,12,0,0,0,0,0,12,0,2.4
src/tests/junit/org/apache/tools/ant/taskdefs/optional/EchoPropertiesTest.java,0,0,0,0,0,248,5,1,518,489,126.1
proposal/antfarm/core/org/apache/tools/ant/Workspace.java,0,449,0,449,0,0,0,0,0,0,89.8
src/main/org/apache/tools/ant/taskdefs/condition/JavaVersion.java,0,0,0,0,0,0,0,0,0,147,14.7
src/main/org/apache/tools/ant/taskdefs/BZip2.java,0,0,0,97,10,92,0,0,1,6,20.6
src/main/org/apache/tools/ant/taskdefs/optional/extension/Compatability.java,0,0,0,0,95,62,0,0,12,5,17.4
src/main/org/apache/tools/ant/taskdefs/Redirector.java,0,0,0,0,481,639,947,107,225,109,250.8
src/main/org/apache/tools/ant/types/selectors/AndSelector.java,0,0,0,111,13,61,0,9,0,20,21.4
src/tests/junit/org/apache/tools/ant/taskdefs/optional/script/graal/AbstractNashornCompatTest.java,0,0,0,0,0,0,0,0,0,53,5.3
proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/VelocityProperties.java,0,0,0,0,128,1,127,0,0,0,25.6
src/main/org/apache/tools/ant/types/optional/imageio/Scale.java,0,0,0,0,0,0,0,0,0,170,17
proposal/myrmidon/src/java/org/apache/myrmidon/components/converter/DefaultMasterConverter.java,0,0,110,110,0,0,0,0,0,0,22
src/main/org/apache/tools/ant/util/regexp/JakartaOroRegexp.java,0,0,0,118,17,76,7,0,14,21,25.3
src/antidote/org/apache/tools/ant/gui/wizard/build/FinishStep.java,0,110,110,0,0,0,0,0,0,0,22
src/main/org/apache/tools/ant/TypeAdapter.java,0,0,0,0,104,62,0,2,0,2,17
src/main/org/apache/tools/ant/types/FilterChain.java,0,0,0,167,90,200,137,8,7,14,62.3
src/antidote/org/apache/tools/ant/gui/util/WindowUtils.java,0,108,108,0,0,0,0,0,0,0,21.6
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/CovMerge.java,0,0,227,279,60,226,0,0,0,0,79.2
src/tests/junit/org/apache/tools/ant/PropertyFileCLITest.java,0,0,0,0,0,0,0,66,10,52,12.8
