Class,karaf-2.1.0,karaf-2.2.0,karaf-2.3.0,karaf-2.4.0,karaf-3.0.0,karaf-4.0.0,karaf-4.1.0,karaf-4.2.0,karaf-4.3.0,karaf-4.3.1,karaf-4.4.0,karaf-4.4.1,average
profile/src/main/java/org/apache/karaf/profile/assembly/Builder.java,0,0,0,0,0,1191,585,1591,515,18,17,0,326.4166667
obr/src/main/java/org/apache/karaf/obr/command/AddUrlCommand.java,0,0,0,0,0,39,0,0,0,0,0,0,3.25
jaas/jasypt/src/main/java/org/apache/karaf/jaas/jasypt/impl/JasyptEncryptionService.java,27,0,0,0,0,0,0,0,0,0,0,0,2.25
jaas/config/src/main/java/org/apache/karaf/jaas/config/impl/NamespaceHandler.java,0,63,0,0,0,165,0,0,0,0,0,0,19
tooling/exam/options/src/main/java/org/apache/karaf/tooling/exam/options/ExamBundlesStartLevel.java,0,0,39,39,0,0,0,0,0,0,0,0,6.5
config/src/main/java/org/apache/karaf/config/command/PropDelCommand.java,0,0,0,0,0,38,0,7,0,0,0,0,3.75
examples/karaf-redis-example/karaf-redis-example-command/src/main/java/org/apache/karaf/examples/redis/command/ListBookingCommand.java,0,0,0,0,0,0,0,0,47,0,0,0,3.916666667
obr/command/src/main/java/org/apache/karaf/obr/command/StartCommand.java,0,0,0,0,39,39,0,0,0,0,0,0,6.5
examples/karaf-soap-example/karaf-soap-example-client/src/main/java/org/apache/karaf/examples/soap/client/AddCommand.java,0,0,0,0,0,0,0,0,53,0,0,0,4.416666667
tooling/features-maven-plugin/src/main/java/org/apache/karaf/tooling/features/CopyFileBasedDescriptor.java,0,52,0,0,52,0,0,0,0,0,0,0,8.666666667
diagnostic/core/src/main/java/org/apache/karaf/diagnostic/common/TextDumpProvider.java,0,0,0,0,0,66,0,0,0,0,0,0,5.5
tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/utils/Dependency30Helper.java,0,0,0,0,0,378,82,406,0,0,0,0,72.16666667
jndi/core/src/main/java/org/apache/karaf/jndi/JndiMBean.java,0,0,0,104,0,104,0,0,0,0,0,0,17.33333333
jms/src/main/java/org/apache/karaf/jms/JmsService.java,0,0,0,0,0,171,171,171,3,0,0,0,43
subsystem/src/main/java/org/apache/karaf/subsystem/commands/StartAction.java,0,0,0,0,0,39,0,0,0,0,0,0,3.25
shell/ssh/src/test/java/org/apache/karaf/shell/ssh/OpenSSHGeneratorKeyFileProviderTest.java,0,0,0,0,0,0,34,34,0,0,0,0,5.666666667
jms/command/src/main/java/org/apache/karaf/jms/command/InfoCommand.java,0,0,0,51,18,53,0,0,0,0,0,0,10.16666667
kar/src/main/java/org/apache/karaf/kar/internal/FeatureDetector.java,0,0,0,0,0,87,0,2,8,0,0,0,8.083333333
shell/commands/src/main/java/org/apache/karaf/shell/commands/PrintfAction.java,3,3,0,0,38,0,0,0,0,0,0,0,3.666666667
jaas/modules/src/main/java/org/apache/karaf/jaas/modules/impl/Activator.java,0,0,0,0,0,119,21,6,3,0,2,0,12.58333333
bundle/command/src/main/java/org/apache/karaf/bundle/command/bundletree/Tree.java,0,0,0,0,100,100,0,0,0,0,0,0,16.66666667
shell/core/src/main/java/org/apache/karaf/shell/impl/console/osgi/LoggingCommandSessionListener.java,0,0,0,0,0,76,3,0,0,0,0,0,6.583333333
main/src/main/java/org/apache/karaf/main/util/ArtifactResolver.java,0,0,0,0,27,0,0,0,0,0,0,0,2.25
shell/ssh/src/test/java/org/apache/karaf/shell/ssh/KnownHostsManagerTest.java,0,0,0,0,58,13,0,0,0,0,0,0,5.916666667
shell/core/src/main/java/org/apache/karaf/shell/impl/console/osgi/DelayedStarted.java,0,0,0,0,0,87,0,24,0,0,0,0,9.25
examples/karaf-jms-example/karaf-jms-example-command/src/main/java/org/apache/karaf/examples/jms/command/ConsumeCommand.java,0,0,0,0,0,0,0,0,55,0,0,0,4.583333333
itests/src/test/java/org/apache/karaf/itests/BundleSshCommandSecurityTest.java,0,0,0,0,0,78,2,80,0,0,0,0,13.33333333
instance/src/main/java/org/apache/karaf/jpm/ProcessBuilderFactory.java,0,0,0,0,0,25,0,25,0,0,0,0,4.166666667
jaas/modules/src/main/java/org/apache/karaf/jaas/modules/AbstractKarafLoginModule.java,195,109,28,0,6,0,0,55,73,0,0,0,38.83333333
bundle/core/src/main/java/org/apache/karaf/bundle/core/internal/BundlesMBeanImpl.java,0,0,0,0,264,6,73,18,0,0,0,0,30.08333333
http/command/src/main/java/org/apache/karaf/http/command/ServletListCommand.java,0,0,0,0,59,59,0,0,0,0,0,0,9.833333333
services/staticcm/src/main/java/org/apache/karaf/services/staticcm/Activator.java,0,0,0,0,0,60,0,0,0,0,0,0,5
features/core/src/main/java/org/apache/karaf/features/internal/resolver/CapabilitySet.java,0,0,0,0,0,468,0,10,464,0,0,0,78.5
log/core/src/main/java/org/apache/karaf/log/core/internal/LogServiceImpl.java,0,0,0,0,261,261,0,0,0,0,0,0,43.5
profile/src/main/java/org/apache/karaf/profile/assembly/ArtifactInstaller.java,0,0,0,0,0,0,0,132,0,0,0,0,11
jaas/modules/src/main/java/org/apache/karaf/jaas/modules/jdbc/JDBCBackingEngine.java,0,406,15,52,46,381,25,33,0,0,0,0,79.83333333
shell/obr/src/main/java/org/apache/karaf/shell/obr/ResolveCommand.java,0,2,0,0,143,0,0,0,0,0,0,0,12.08333333
jms/command/src/main/java/org/apache/karaf/jms/command/BrowseCommand.java,0,0,0,70,76,110,0,0,0,0,0,0,21.33333333
docker/src/main/java/org/apache/karaf/docker/command/RmCommand.java,0,0,0,0,0,0,0,0,50,0,0,0,4.166666667
audit/src/main/java/org/apache/karaf/audit/layout/AbstractLayout.java,0,0,0,0,0,0,0,198,0,0,0,0,16.5
