Class,REL_1_5_1,REL_2_5_1,REL_3_0,REL_3_1_FINAL,REL_3_2_FINAL,REL_3_5-FINAL,REL_3_6,REL_3_7,REL_3_8_FINAL,REL_3_9,REL_3_10_FINAL,REL_3_11_FINAL,REL_3_12_FINAL,REL_3_13_FINAL,REL_3_14_FINAL,REL_3_15_FINAL,REL_3_16_FINAL,REL_3_17_FINAL,REL_4_0_0_FINAL,REL_4_1_0,REL_5_0_0,REL_5_1_0,REL_5_2_0,REL_5_2_2,average
src/java/org/apache/poi/ss/usermodel/FillPatternType.java,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,103,0,0,10.16666667
src/ooxml/java/org/apache/poi/POIXMLTextExtractor.java,0,0,0,0,0,71,0,0,9,0,14,0,3,2,15,18,0,0,120,0,0,0,0,0,10.5
src/ooxml/java/org/apache/poi/xssf/usermodel/XSSFRow.java,0,0,0,0,0,413,31,60,49,0,9,25,5,0,136,123,0,2,205,112,111,783,0,0,86
src/java/org/apache/poi/hssf/eventusermodel/HSSFEventFactory.java,0,232,55,90,0,158,0,37,0,0,3,0,24,0,21,24,0,0,1,0,16,181,0,0,35.08333333
src/ooxml/testcases/org/apache/poi/xwpf/usermodel/TestXWPFComment.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,3.083333333
src/ooxml/testcases/org/apache/poi/xwpf/usermodel/TestXWPFNumbering.java,0,0,0,0,0,0,0,40,21,0,18,0,34,155,0,0,0,0,0,0,144,156,0,0,23.66666667
src/ooxml/java/org/apache/poi/xwpf/usermodel/XWPFNumbering.java,0,0,0,0,0,0,0,249,56,0,0,7,0,473,68,0,445,0,14,0,39,303,0,0,68.91666667
trunk/poi-ooxml/src/test/java/org/apache/poi/xssf/usermodel/TestXSSFDialogSheet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,205,0,17.08333333
src/scratchpad/src/org/apache/poi/hslf/usermodel/HSLFTextShape.java,0,0,0,0,0,0,0,0,0,0,0,0,0,787,586,46,161,30,33,2,104,911,0,0,110.8333333
src/examples/src/org/apache/poi/xssf/usermodel/examples/LineChart.java,0,0,0,0,0,0,0,0,0,0,79,28,0,0,0,0,184,0,110,52,127,0,0,0,24.16666667
src/testcases/org/apache/poi/hssf/usermodel/TestHSSFHeaderFooter.java,0,90,73,182,51,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,195,0,0,38.33333333
trunk/poi-scratchpad/src/test/java/org/apache/poi/hwpf/model/TestBookmarksTables.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,8.333333333
src/scratchpad/src/org/apache/poi/hssf/record/formula/functions/Lognormdist.java,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.416666667
src/java/org/apache/poi/ss/formula/TwoDEval.java,0,0,0,0,0,0,0,62,13,0,0,5,0,0,0,0,0,0,0,9,0,77,0,0,6.916666667
poi-scratchpad/src/test/java/org/apache/poi/hwpf/model/TestListTables.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,2.375
trunk/poi-ooxml/src/main/java/org/apache/poi/xssf/streaming/SXSSFWorkbook.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,1353,0,112.75
src/testcases/org/apache/poi/poifs/filesystem/TestOfficeXMLException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,26,159,0,49,126,0,0,20.33333333
poi-ooxml/src/main/java/org/apache/poi/xdgf/usermodel/XDGFPage.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,4.875
trunk/poi-ooxml/src/test/java/org/apache/poi/openxml4j/opc/TestRelationships.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,434,0,36.16666667
poi-examples/src/main/java/org/apache/poi/examples/xssf/usermodel/CalendarDemo.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,2,0,10.08333333
src/java/org/apache/poi/poifs/crypt/binaryrc4/BinaryRC4EncryptionVerifier.java,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,170,0,0,18,22,95,0,0,16.08333333
trunk/poi-scratchpad/src/main/java/org/apache/poi/hwpf/model/types/TCAbstractType.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,823,0,68.58333333
trunk/poi/src/main/java/org/apache/poi/ss/formula/functions/Irr.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,0,11.33333333
