Class,3.0.1,3.0.2,3.1.2,3.1.3,4,4.0.1,4.0.2,4.1,4.1.1,average
cayenne-server/src/main/java/org/apache/cayenne/access/jdbc/SelectAction.java,0,0,0,0,239,0,0,17,2,28.66666667
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/merge/MergerFactoryTest.java,0,0,45,0,306,0,0,0,0,39
cayenne-dbsync/src/main/java/org/apache/cayenne/dbsync/filter/NameFilter.java,0,0,0,0,27,0,0,0,2,3.222222222
cayenne-jms/src/main/java/org/apache/cayenne/event/JMSBridgeProvider.java,0,0,0,0,0,0,0,50,2,5.777777778
cayenne-gradle-plugin/src/main/java/org/apache/cayenne/tools/model/PatternParam.java,0,0,0,0,83,0,0,7,2,10.22222222
cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTNamedParameterTest.java,0,0,0,0,42,0,0,0,2,4.888888889
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/query/Query.java,0,0,15,0,78,0,0,0,0,10.33333333
cayenne-server/src/main/java/org/apache/cayenne/access/translator/select/SelectTranslatorFactory.java,0,0,0,0,37,0,0,0,2,4.333333333
framework/cayenne-project/src/main/java/org/apache/cayenne/project/validation/ProcedureValidator.java,0,0,78,0,78,0,0,0,0,17.33333333
cayenne-server/src/main/java/org/apache/cayenne/access/translator/ejbql/EJBQLAggregateColumnTranslator.java,0,0,0,0,188,0,0,0,2,21.11111111
cayenne-server/src/test/java/org/apache/cayenne/configuration/Rot13PasswordEncoderTest.java,0,0,0,0,43,0,0,0,2,5
itests/cayenne-api/src/main/java/org/apache/cayenne/itest/cpa/defaults/client/DefaultsTable1.java,0,0,10,0,0,0,0,0,0,1.111111111
cayenne-commitlog/src/main/java/org/apache/cayenne/commitlog/DiffFilter.java,0,0,0,0,88,0,0,0,2,10
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/conf/DataSourceFactory.java,0,0,40,0,0,0,0,0,0,4.444444444
cayenne-client/src/test/java/org/apache/cayenne/NestedCayenneContextIT.java,0,0,0,0,746,0,0,0,2,83.11111111
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ASTAdd.java,0,0,0,0,107,0,0,0,0,11.88888889
cayenne-client/src/test/java/org/apache/cayenne/query/PrefetchTreeNodeTest.java,0,0,0,0,159,0,0,0,2,17.88888889
cayenne-server/src/test/java/org/apache/cayenne/testdo/deleterules/auto/_ClientDeleteRule.java,0,0,0,0,114,0,0,0,0,12.66666667
cayenne-server/src/test/java/org/apache/cayenne/MockDataObject.java,0,0,0,0,141,0,0,0,2,15.88888889
cayenne-server/src/main/java/org/apache/cayenne/validation/ValidationException.java,0,0,0,0,56,0,0,0,2,6.444444444
cayenne-server/src/main/java/org/apache/cayenne/configuration/xml/EmbeddableAttributeHandler.java,0,0,0,0,0,0,0,69,2,7.888888889
cayenne-server/src/main/java/org/apache/cayenne/ejbql/parser/EJBQLSelectExpressions.java,0,0,0,0,36,0,0,0,2,4.222222222
cayenne-server/src/main/java/org/apache/cayenne/ejbql/parser/EJBQLJoin.java,0,0,0,0,46,0,0,0,2,5.333333333
itests/cayenne-runtime-itest/src/main/java/org/apache/cayenne/configuration/server/RuntimeName.java,0,0,24,0,24,0,0,0,0,5.333333333
framework/cayenne-jpa-unpublished/src/test/java/org/apache/cayenne/jpa/conf/MockAnnotatedBean3.java,0,0,56,0,0,0,0,0,0,6.222222222
cayenne-server/src/test/java/org/apache/cayenne/testdo/db2/CrossdbM2E2.java,0,0,0,0,28,0,0,0,2,3.333333333
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/art/BitTestEntity.java,0,0,28,0,0,0,0,0,0,3.111111111
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/ProjectTreeView.java,0,0,1055,0,331,0,0,70,2,162
cayenne-server/src/main/java/org/apache/cayenne/dba/sqlite/SQLiteCalendarType.java,0,0,0,0,93,0,0,0,2,10.55555556
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/relationship/SetToMany.java,0,0,0,0,28,0,0,0,0,3.111111111
