Class,cassandra-0.4.0-final,cassandra-0.5.0,cassandra-0.6.0,cassandra-0.7.0,cassandra-0.8.0,cassandra-1.0.0,cassandra-1.1.0,cassandra-1.2.0,cassandra-2.0.0,cassandra-2.1.0,cassandra-2.2.0,cassandra-3.0.0,cassandra-3.1,cassandra-3.2,cassandra-3.3,cassandra-3.4,cassandra-3.5,cassandra-3.6,cassandra-3.7,cassandra-3.8,cassandra-4.0.0,cassandra-4.0.5,,average
contrib/bmt_example/CassandraBulkLoader.java,0,6,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.636363636
interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationException.java,0,0,34,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.227272727
test/long/org/apache/cassandra/utils/LongBTreeTest.java,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,,2.727272727
src/java/org/apache/cassandra/dht/StreamInitiateMessage.java,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.090909091
src/java/org/apache/cassandra/db/compaction/CompactionType.java,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.181818182
test/unit/org/apache/cassandra/db/CompactionsPurgeTest.java,0,0,24,10,150,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.454545455
src/java/org/apache/cassandra/service/IWriteResponseHandler.java,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.409090909
src/java/org/apache/cassandra/avro/CassandraDaemon.java,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.590909091
src/java/org/apache/cassandra/service/DatacenterSyncWriteResponseHandler.java,0,6,12,227,17,2,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13.31818182
src/java/org/apache/cassandra/config/EncryptionOptions.java,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,,1.636363636
examples/pig/README.txt,0,0,0,0,0,0,0,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.454545455
src/java/org/apache/cassandra/cli/CliUserHelp.java,0,0,0,65,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.454545455
src/java/org/apache/cassandra/db/HintedHandOffManagerMBean.java,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.727272727
src/java/org/apache/cassandra/net/HeaderTypes.java,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.545454545
src/java/org/apache/cassandra/db/TreeMapBackedSortedColumns.java,0,0,0,0,0,5,8,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.272727273
doc/modules/cassandra/pages/operating/compaction/index.adoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,0.545454545
test/unit/org/apache/cassandra/utils/SerializationsTest.java,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.363636364
src/java/org/apache/cassandra/transport/CBUtil.java,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,0.272727273
src/java/org/apache/cassandra/db/columniterator/LazyColumnIterator.java,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.818181818
test/unit/org/apache/cassandra/service/SerializationsTest.java,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.409090909
conf/cassandra.yaml,0,0,0,204,21,4,30,23,67,28,6,3,0,0,0,0,0,0,0,0,51,51,,22.18181818
src/antlr/Lexer.g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0.136363636
interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,0,0,43,21,0,22,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.636363636
tools/py_stress/stress.py,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.454545455
contrib/stress/src/org/apache/cassandra/contrib/stress/tests/Inserter.java,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.318181818
src/java/org/apache/cassandra/locator/DatacenterShardStrategy.java,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33.81818182
src/java/org/apache/cassandra/io/util/FileUtils.java,0,0,0,53,67,18,0,53,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.09090909
debian/dirs,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.090909091
src/java/org/apache/cassandra/cache/SerializingCacheProvider.java,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.090909091
src/java/org/apache/cassandra/service/IResponseResolver.java,84,3,5,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.545454545
src/java/org/apache/cassandra/utils/vint/EncodedDataInputStream.java,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,,0.818181818
src/java/org/apache/cassandra/gms/GossipDigestSyn.java,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.409090909
