Class,3.0.1,3.0.2,3.1.2,3.1.3,4,4.0.1,4.0.2,4.1,4.1.1,,average
cayenne-server/src/main/java/org/apache/cayenne/util/IndexPropertyList.java,0,0,0,0,6,0,0,0,0,,0.666666667
cayenne-project/src/test/resources/org/apache/cayenne/project/upgrade/v9/6a/testProjectMap1_2.map.xml,0,0,0,0,7,0,0,0,0,,0.777777778
framework/cayenne-project/src/test/resources/org/apache/cayenne/project/testProjectMap2_2.map.xml,0,0,7,0,0,0,0,0,0,,0.777777778
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/access/trans/BatchQueryBuilderTest.java,0,0,2,0,0,0,0,0,0,,0.222222222
cayenne-server/src/main/java/org/apache/cayenne/velocity/VelocitySQLTemplateProcessor.java,0,0,0,0,274,0,0,0,0,,30.44444444
docs/docbook/css/highlight.css,0,0,70,0,70,0,0,0,0,,15.55555556
plugins/maven-cayenne-plugin/src/test/resources/org/apache/cayenne/tools/config/pom-catalog.xml,0,0,0,0,84,0,0,0,0,,9.333333333
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/pref/ClasspathPreferences.java,0,0,66,0,154,0,0,0,0,,24.44444444
docs/docbook/cayenne-guide/src/docbkx/appendix-a.xml,0,0,331,0,331,0,0,0,0,,73.55555556
cayenne-dbsync/src/test/resources/org/apache/cayenne/dbsync/reverse/db/cayenne-relationship-optimisation.xml,0,0,0,0,4,0,0,0,0,,0.444444444
cayenne-server/src/main/java/org/apache/cayenne/access/types/ShortType.java,0,0,0,0,10,0,0,0,0,,1.111111111
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/CreateProcedureParameterAction.java,0,0,0,0,0,0,0,23,0,,2.555555556
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ExpressionParserTreeConstants.java,0,0,0,0,30,0,0,0,0,,3.333333333
framework/cayenne-project-unpublished/src/test/resources/org/apache/cayenne/project/upgrade/v6/6a/testProjectMap1_2.map.xml,0,0,7,0,0,0,0,0,0,,0.777777778
cayenne-server/src/main/java/org/apache/cayenne/velocity/VelocityParamSequence.java,0,0,0,0,136,0,0,0,0,,15.11111111
maven-plugins/cayenne-maven-plugin/src/test/resources/org/apache/cayenne/tools/dbimport/testImportNewRelationship.sql,0,0,0,0,33,0,0,0,0,,3.666666667
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/configuration/server/PropertyDataSourceFactoryTest.java,0,0,51,0,0,0,0,0,0,,5.666666667
eventbridges/cayenne-jgroups/src/test/java/org/apache/cayenne/event/JGroupsModuleIT.java,0,0,0,0,53,7,0,53,0,,12.55555556
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ExpressionParserConstants.java,0,0,0,0,44,0,0,0,0,,4.888888889
cayenne-server/src/test/java/org/apache/cayenne/query/OrderingTest.java,0,0,0,0,17,0,0,0,0,,1.888888889
cayenne-server/src/main/java/org/apache/cayenne/access/jdbc/SoftDeleteQueryBuilderFactory.java,0,0,0,0,59,0,0,0,0,,6.555555556
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/access/DataContextPrefetchTest.java,0,0,0,0,71,0,0,0,0,,7.888888889
cayenne-di/src/main/java/org/apache/cayenne/di/spi/ConstructorInjectingDecoratorProvider.java,0,0,0,0,23,0,0,0,0,,2.555555556
framework/cayenne-project/src/main/java/org/apache/cayenne/project/ProjectSaver.java,0,0,49,0,0,0,0,0,0,,5.444444444
docs/docbook/getting-started-rop/src/docbkx/web-service.xml,0,0,80,0,80,0,0,0,0,,17.77777778
cayenne-server/src/main/java/org/apache/cayenne/access/DefaultDataRowStoreFactory.java,0,0,0,0,13,0,0,13,0,,2.888888889
cayenne-server/src/test/resources/relationships.map.xml,0,0,0,0,0,0,0,17,0,,1.888888889
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/access/DataContexQuoteTest.java,0,99,0,0,0,0,0,0,0,,11
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/remote/hessian/HessianConfig.java,0,0,2,0,0,0,0,0,0,,0.222222222
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/merge/MergeCase.java,0,0,0,0,2,0,0,0,0,,0.222222222
framework/cayenne-tools/src/test/java/org/apache/cayenne/gen/DataMapGeneratedQueryRunTest.java,52,0,51,0,0,0,0,0,0,,11.44444444
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbentity/PKGeneratorPanel.java,0,0,0,0,17,0,0,0,0,,1.888888889
framework/cayenne-core-unpublished/src/test/java/org/apache/cayenne/testdo/r1/Activity.java,0,0,0,0,7,0,0,0,0,,0.777777778
cayenne-server/src/main/java/org/apache/cayenne/query/QueryRouter.java,0,0,0,0,2,0,0,0,0,,0.222222222
cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ASTFunctionCall.java,0,0,0,0,31,0,0,0,0,,3.444444444
cayenne-client/src/test/java/org/apache/cayenne/query/ClientSelectQueryExpressionTest.java,0,0,0,0,121,0,0,0,0,,13.44444444
modeler/cayenne-wocompat/src/main/java/org/apache/cayenne/wocompat/EOModelProcessor.java,0,0,0,0,77,0,0,0,0,,8.555555556
cayenne-project/src/main/java/org/apache/cayenne/project/upgrade/v7/UpgradeHandler_V7.java,0,0,0,0,146,0,0,0,0,,16.22222222
framework/cayenne-core-unpublished/src/test/java/org/apache/cayenne/unit/di/server/SchemaBuilder.java,0,0,0,0,2,0,0,0,0,,0.222222222
modeler/cayenne-modeler-win-ext/src/main/java/org/apache/cayenne/modeler/win/WinCustomTextFieldUI.java,0,0,0,0,46,0,0,44,0,,10
cayenne-server/src/main/java/org/apache/cayenne/dba/oracle/OracleAdapter.java,0,0,0,0,12,0,0,36,0,,5.333333333
framework/cayenne-jdk1.5-unpublished/src/test/resources/small-testmap.map.xml,0,0,11,0,0,0,0,0,0,,1.222222222
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/access/DataDomainCallbacksTest.java,0,79,75,0,43,0,0,0,0,,21.88888889
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/inheritance_flat/auto/_User.java,0,0,27,0,0,0,0,0,0,,3
framework/cayenne-jdk1.5-unpublished/src/main/jjtree/org/apache/cayenne/exp/parser/ExpressionParser.jjt,0,0,0,0,78,0,0,0,0,,8.666666667
cayenne-server/src/test/java/org/apache/cayenne/testdo/cay_2521/auto/_Issue.java,0,0,0,0,0,0,0,103,0,,11.44444444
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/query/PrefetchSelectQuery.java,0,0,1,0,0,0,0,0,0,,0.111111111
cayenne-server/src/main/java/org/apache/cayenne/query/BatchQuery.java,0,0,0,0,8,0,0,0,0,,0.888888889
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/util/ExpressionConvertor.java,0,0,0,0,0,0,0,3,0,,0.333333333
cayenne-server/src/test/java/org/apache/cayenne/query/SelectQueryMetadataCacheKeyTest.java,0,0,0,0,385,0,0,123,0,,56.44444444
framework/cayenne-core-unpublished/src/test/java/org/apache/cayenne/reflect/PropertyUtilsTest.java,0,0,0,0,62,0,0,0,0,,6.888888889
framework/cayenne-project-unpublished/src/test/resources/org/apache/cayenne/project/cayenne-PROJECT2.xml,0,0,17,0,0,0,0,0,0,,1.888888889
framework/cayenne-jdk1.5-unpublished/src/test/resources/multi-tier.map.xml,0,0,4,0,4,0,0,0,0,,0.888888889
cayenne-server/src/main/java/org/apache/cayenne/query/SQLTemplate.java,0,0,0,0,91,0,0,0,0,,10.11111111
maven-plugins/cayenne-tools-itest/pom.xml,0,0,0,0,0,0,0,8,0,,0.888888889
cayenne-server/src/test/java/org/apache/cayenne/access/loader/filters/FiltersFactory.java,0,0,0,0,44,0,0,0,0,,4.888888889
cayenne-tools/src/main/java/org/apache/cayenne/tools/configuration/DriverDataSourceFactory.java,0,0,0,0,2,0,0,0,0,,0.222222222
cayenne-server/src/test/resources/multi-tier.map.xml,0,0,0,0,8,0,0,0,0,,0.888888889
framework/cayenne-project-unpublished/src/main/java/org/apache/cayenne/project/upgrade/DataSourceInfoLoader_3_0_0_1.java,0,0,271,0,0,0,0,0,0,,30.11111111
plugins/maven-cayenne-plugin/src/test/resources/org/apache/cayenne/tools/dbimport/testCustomObjectLayerSettings.map.xml-result,0,0,0,0,40,0,0,0,0,,4.444444444
framework/cayenne-project/src/main/java/org/apache/cayenne/project/validation/DataMapValidator.java,0,0,80,0,0,0,0,0,0,,8.888888889
cayenne-server/src/main/java/org/apache/cayenne/access/types/SubclassTypeFactory.java,0,0,0,0,6,0,0,3,0,,1
cayenne-server/src/test/java/org/apache/cayenne/unit/di/server/ServerCaseDataNodeFactory.java,0,0,0,0,5,0,0,0,0,,0.555555556
framework/cayenne-core-unpublished/src/test/java/org/apache/cayenne/ManyToManyNoJoinTest.java,0,0,0,0,59,0,0,0,0,,6.555555556
framework/cayenne-jdk1.5-unpublished/src/main/jjtree/org/apache/cayenne/ejbql/EJBQLParser.jjt,0,0,10,0,0,0,0,0,0,,1.111111111
cayenne-server/src/main/java/org/apache/cayenne/velocity/SQLTemplateProcessor.java,0,0,0,0,310,0,0,0,0,,34.44444444
cayenne-server/src/main/java/org/apache/cayenne/access/jdbc/SelectAction.java,0,0,0,0,10,0,0,0,0,,1.111111111
cayenne-crypto/src/test/java/org/apache/cayenne/crypto/transformer/value/BooleanConverterTest.java,0,0,0,0,46,0,0,0,0,,5.111111111
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/util/CayenneTable.java,0,0,0,0,24,0,0,88,0,,12.44444444
cayenne-server/src/main/java/org/apache/cayenne/access/translator/ejbql/EJBQLIdentifierColumnsTranslator.java,0,0,0,0,17,0,0,0,0,,1.888888889
cayenne-dbsync/src/test/java/org/apache/cayenne/dbsync/merge/EntityMergeSupportIT.java,0,0,0,0,9,0,0,0,0,,1
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/ObjAttributeTableModel.java,0,0,0,0,98,0,0,0,0,,10.88888889
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/access/types/MockEnum4.java,0,0,36,0,0,0,0,0,0,,4
framework/cayenne-project/src/main/java/org/apache/cayenne/project/validation/ProcedureValidator.java,0,0,78,0,0,0,0,0,0,,8.666666667
cayenne-server/src/main/java/org/apache/cayenne/access/translator/ejbql/EJBQLAggregateColumnTranslator.java,0,0,0,0,48,0,0,48,0,,10.66666667
cayenne-server/src/test/java/org/apache/cayenne/configuration/Rot13PasswordEncoderTest.java,0,0,0,0,43,0,0,0,0,,4.777777778
cayenne-server/src/main/java/org/apache/cayenne/access/loader/DbAttributesPerSchemaLoader.java,0,0,0,0,120,0,0,0,0,,13.33333333
cayenne-server/src/test/java/org/apache/cayenne/unit/UnitDbAdapter.java,0,0,0,0,16,0,0,4,0,,2.222222222
cayenne-di/src/main/java/org/apache/cayenne/di/ClassLoaderManager.java,0,0,0,0,2,0,0,0,0,,0.222222222
cayenne-server/pom.xml,0,0,0,0,7,0,0,0,0,,0.777777778
cayenne-server/src/main/java/org/apache/cayenne/event/EventSubject.java,0,0,0,0,0,0,0,0,34,,3.777777778
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbimport/ReverseEngineeringConfigPanel.java,0,0,0,0,0,0,0,48,0,,5.333333333
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/cgen/CustomModeController.java,0,0,0,0,0,0,0,65,0,,7.222222222
framework/cayenne-project/pom.xml,0,0,80,0,0,0,0,0,0,,8.888888889
cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ASTNotLike.java,0,0,0,0,16,0,0,0,0,,1.777777778
plugins/maven-cayenne-plugin/src/test/resources/org/apache/cayenne/tools/dbimport/testSimpleFiltering-pom.xml,0,0,0,0,41,0,0,0,0,,4.555555556
cayenne-server/src/test/resources/compound.map.xml,0,0,0,0,132,0,0,10,0,,15.77777778
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/ProjectTreeView.java,0,0,0,0,36,0,0,14,0,,5.555555556
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/event/ProjectOnSaveEvent.java,0,0,0,0,13,0,0,0,0,,1.444444444
cayenne-server/src/test/resources/primitive.map.xml,0,0,0,0,2,0,0,2,0,,0.444444444
cayenne-server/src/test/java/org/apache/cayenne/access/EmbeddingSerializeIT.java,0,0,0,0,0,0,0,131,0,,14.55555556
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbentity/DbEntityAttributeTab.java,5,0,5,0,0,0,0,0,0,,1.111111111
cayenne-dbsync/src/main/java/org/apache/cayenne/dbsync/merge/SetAllowNullToModel.java,0,0,0,0,2,0,0,0,0,,0.222222222
cayenne-server/src/test/java/org/apache/cayenne/CDOQualifiedEntitiesIT.java,0,0,0,0,81,0,0,81,0,,18
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/access/ListWithPrefetches.java,0,3,3,0,0,0,0,0,0,,0.666666667
plugins/maven-cayenne-plugin/src/test/resources/org/apache/cayenne/tools/dbimport/testSupportsCatalogsOnReverseEngineering-pom.xml,0,0,0,0,50,0,0,0,0,,5.555555556
cayenne-server/src/main/java/org/apache/cayenne/configuration/DefaultRuntimeProperties.java,0,0,0,0,2,0,0,0,0,,0.222222222
plugins/maven-cayenne-plugin/src/test/java/org/apache/cayenne/tools/DbImporterMojoTest.java,0,0,0,0,87,0,0,0,0,,9.666666667
cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTFunctionCallDateIT.java,0,0,0,0,19,0,0,0,0,,2.111111111
framework/cayenne-project/src/main/java/org/apache/cayenne/project/upgrade/v6/XMLDataChannelDescriptorLoader_V3_0_0_1.java,0,0,349,0,0,0,0,0,0,,38.77777778
framework/cayenne-project/src/test/resources/org/apache/cayenne/project/upgrade/v6/3_0_0_1a/d1Map1.map.xml,0,0,6,0,0,0,0,0,0,,0.666666667
cayenne-dbsync/src/main/java/org/apache/cayenne/dbsync/reverse/dbload/ProcedureColumnLoader.java,0,0,0,0,14,0,0,14,0,,3.111111111
build-tools/cayenne-test-utilities/src/main/java/org/apache/cayenne/test/file/FileUtil.java,0,0,82,0,0,0,0,0,0,,9.111111111
cayenne-crypto/src/main/java/org/apache/cayenne/crypto/CryptoServerModuleProvider.java,0,0,0,0,0,0,11,11,0,,2.444444444
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/pref/Preference.java,0,0,0,0,6,0,0,0,0,,0.666666667
framework/cayenne-wocompat-unpublished/src/main/java/org/apache/cayenne/wocompat/EOQuery.java,0,0,0,0,9,0,0,0,0,,1
cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_vertical/IvBaseWithLock.java,0,0,0,0,28,0,0,0,0,,3.111111111
cayenne-crypto/src/main/java/org/apache/cayenne/crypto/CryptoModule.java,0,0,0,0,0,0,30,39,0,,7.666666667
cayenne-crypto/src/test/java/org/apache/cayenne/crypto/Runtime_AES128_HMAC_IT.java,0,0,0,0,34,0,0,0,0,,3.777777778
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/access/jdbc/EJBQLPathTranslator.java,0,0,24,0,187,0,0,0,0,,23.44444444
cayenne-cgen/src/main/resources/templates/v1_2/datamap-singleclass.vm,0,0,0,0,14,0,0,14,0,,3.111111111
