Class,release-0.2.0,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,release-0.18.0,release-0.19.0,release-0.20.0,release-0.21.0,release-0.22.0,release-0.23.0,release-1.0.0,release-1.1.0,release-1.2.0,release-2.2.0,release-2.3.0,release-2.4.0,release-2.5.0,release-2.6.0,release-2.7.0,rel/release-2.8.0,rel/release-2.9.0,rel/release-2.10.0,rel/release-3.0.0,rel/release-3.1.0,rel/release-3.2.0,rel/release-3.3.0,rel/release-3.3.4,average
hadoop-hdds/common/src/main/java/org/apache/hadoop/utils/BatchOperation.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,2.307692308
hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/compress/BZip2Codec.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,7,66,30,74,72,0,0,0,6.58974359
hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/Tool.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0.41025641
src/test/system/java/org/apache/hadoop/test/system/AbstractDaemonCluster.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846153846
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestAuthToken.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,127,0,0,0,0,6.512820513
hadoop-hdds/common/src/main/java/org/apache/hadoop/utils/db/RDBStore.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,6.923076923
hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/protocolPB/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.487179487
hadoop-ozone/objectstore-service/src/main/java/org/apache/hadoop/ozone/web/netty/ObjectStoreChannelHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,2
src/core/org/apache/hadoop/io/NullWritable.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.615384615
hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/statemachine/SCMConnectionManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,5.41025641
