Class,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,,average
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/RegExLoader.java,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,,1.866666667
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigGenericMapBase.java,0,0,0,0,0,0,0,30,30,0,102,4,4,0,0,,11.33333333
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/DBStorage.java,0,0,0,0,0,0,0,0,0,0,109,4,0,0,0,,7.533333333
src/org/apache/pig/backend/hadoop/executionengine/tez/TezCompiler.java,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,,7.466666667
src/org/apache/pig/data/DefaultDataBag.java,0,0,0,0,0,4,4,2,0,1,0,0,0,0,26,,2.466666667
src/org/apache/pig/newplan/logical/expression/AddExpression.java,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0.133333333
test/org/apache/pig/test/data/GoldenFiles/MRC10.gld,0,0,0,0,0,0,38,0,0,0,8,0,0,0,0,,3.066666667
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestCollection.java,0,0,0,0,0,0,0,0,0,0,221,221,0,0,0,,29.46666667
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/SQRT.java,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,,0.8
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestOrderPreserveUnionHDFS.java,0,0,0,0,0,113,113,0,0,0,199,199,0,0,0,,41.6
src/org/apache/pig/newplan/logical/visitor/StoreAliasSetter.java,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,,4.933333333
contrib/zebra/src/test/e2e/mergeJoin/mergeBytes.pig,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,,4.933333333
test/org/apache/pig/test/TestBuiltin.java,0,0,0,0,0,133,201,87,72,59,69,49,387,521,0,,105.2
contrib/zebra/src/test/org/apache/hadoop/zebra/mapreduce/TableMRSampleSortedTable.java,0,0,0,0,0,0,0,0,0,0,179,179,0,0,0,,23.86666667
test/perf/pigmix/src/java/org/apache/pig/test/pigmix/mapreduce/L3.java,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0.133333333
test/org/apache/pig/test/YarnMiniCluster.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,1.533333333
test/org/apache/pig/test/TestBatchAliases.java,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,,1.333333333
contrib/piggybank/java/build.xml,0,0,0,0,0,0,5,20,22,5,3,0,0,0,0,,3.666666667
contrib/zebra/src/java/org/apache/hadoop/zebra/io/KeyDistribution.java,0,0,0,0,0,0,0,0,0,0,234,234,0,0,0,,31.2
contrib/zebra/src/java/org/apache/hadoop/zebra/pig/comparator/TupleExpr.java,0,0,0,0,0,0,0,0,0,0,111,111,0,0,0,,14.8
src/org/apache/pig/parser/MacroImport.g,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,,5.666666667
src/org/apache/pig/impl/util/CompilerUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,51,85,0,,9.066666667
contrib/zebra/src/test/e2e/streaming/map.txt,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,,0.266666667
src/org/apache/pig/impl/builtin/PartitionSkewedKeys.java,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,,0.4
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/avro/PigAvroInputFormat.java,0,0,0,0,0,0,0,12,12,8,17,0,0,0,0,,3.266666667
contrib/zebra/src/test/org/apache/hadoop/zebra/mapreduce/TestBasicTableIOFormatLocalFS.java,0,0,0,0,0,0,0,0,0,0,966,966,0,0,0,,128.8
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestOrderPreserveProjectionNegative.java,0,0,0,0,0,0,0,0,0,0,820,820,0,0,0,,109.3333333
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigSecondaryKeyComparator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,,3.266666667
src/org/apache/pig/data/SchemaTuple.java,0,0,0,0,0,0,0,0,35,147,0,0,6,0,0,,12.53333333
src/org/apache/pig/impl/logicalLayer/optimizer/PushUpFilter.java,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,,1.2
test/org/apache/pig/test/data/GoldenFiles/Split1.gld,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.133333333
src/org/apache/pig/newplan/logical/rules/TypeCastInserter.java,0,0,0,0,0,5,7,2,4,8,8,0,0,70,0,,6.933333333
test/org/apache/pig/test/TestOptimizeLimit.java,0,0,0,0,0,0,0,21,21,0,3,0,0,0,0,,3
test/org/apache/pig/test/TestIn.java,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,,2
contrib/zebra/src/java/org/apache/hadoop/zebra/tfile/BoundedRangeFileInputStream.java,0,0,0,0,0,0,0,0,0,0,141,141,0,0,0,,18.8
src/org/apache/pig/newplan/logical/expression/IsNullExpression.java,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0.133333333
src/org/apache/pig/impl/logicalLayer/ColumnPruner.java,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,,1.6
contrib/zebra/src/java/org/apache/hadoop/zebra/package-info.java,0,0,0,0,0,0,0,0,0,0,68,68,0,0,0,,9.066666667
contrib/zebra/src/test/stress/stress_union_04.pig,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,,5.066666667
test/org/apache/pig/test/data/GoldenFiles/tez/TEZC-SkewJoin-1.gld,0,0,0,0,0,0,0,0,0,0,0,0,14,10,2,,1.733333333
src/org/apache/pig/newplan/logical/visitor/UnionOnSchemaSetter.java,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,,1.4
contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/data/jh/localhost_1272395783545_job_conf.xml,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,,3.533333333
test/org/apache/pig/test/TestFilterSimplification.java,0,0,0,0,0,158,294,123,0,0,0,0,0,0,0,,38.33333333
test/org/apache/pig/test/data/GoldenFiles/tez/TEZC-Limit-1.gld,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0.133333333
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/DoubleBase.java,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,,0.8
src/org/apache/pig/backend/hadoop/executionengine/tez/plan/optimizer/MultiQueryOptimizerTez.java,0,0,0,0,0,0,0,0,0,0,0,0,6,114,10,,8.666666667
src/org/apache/pig/FuncSpec.java,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,0.2
src/org/apache/pig/backend/hadoop/executionengine/tez/plan/operator/POStoreTez.java,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,,4.066666667
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POPartitionRearrange.java,0,0,0,0,0,3,9,2,2,0,13,0,0,10,0,,2.6
test/org/apache/pig/builtin/TestTOMAP.java,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,0.4
src/org/apache/pig/newplan/logical/rules/NestedLimitOptimizer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,0.666666667
test/e2e/pig/tests/turing_jython.conf,0,0,0,0,0,0,0,121,130,5,4,0,0,1,262,,34.86666667
src/org/apache/pig/impl/logicalLayer/LOUserFunc.java,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,,5.066666667
src/org/apache/pig/pen/physicalOperators/POSplitOutput.java,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,,8.733333333
contrib/zebra/src/java/org/apache/hadoop/zebra/pig/comparator/BooleanExpr.java,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,,4.933333333
contrib/zebra/src/test/org/apache/hadoop/zebra/tfile/KeySampler.java,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,,7.466666667
test/org/apache/pig/test/data/GoldenFiles/tez/TEZC-Rank-1.gld,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,0.266666667
test/perf/pigmix/src/java/org/apache/pig/test/pigmix/mapreduce/L12.java,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,,3.333333333
src/org/apache/pig/impl/plan/PlanValidator.java,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,,0.666666667
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/PigLogger.java,0,0,0,0,0,5,5,0,0,0,9,0,0,0,0,,1.266666667
contrib/zebra/src/test/e2e/mergeJoin/mergeEmpty.pig,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,,4.8
test/org/apache/pig/test/data/GoldenFiles/MRC8.gld,0,0,0,0,0,0,28,0,0,0,14,8,0,0,0,,3.333333333
contrib/zebra/src/test/e2e/pruning/mforeach3.pig,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,,4.8
src/org/apache/pig/pen/ExampleGenerator.java,0,0,0,0,0,0,532,0,0,0,3,0,0,60,0,,39.66666667
contrib/zebra/src/test/org/apache/hadoop/zebra/io/TestColumnNameGroup.java,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,,22.93333333
contrib/zebra/src/test/smoke/zebra_smoke_run.pl,0,0,0,0,0,0,0,0,0,0,93,93,0,0,0,,12.4
src/org/apache/pig/impl/io/PigNullableWritable.java,0,0,0,0,0,0,0,0,0,25,27,0,0,0,0,,3.466666667
src/org/apache/pig/backend/datastorage/DataStorage.java,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0.066666667
src/org/apache/pig/impl/io/NullableTuple.java,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,,0.266666667
test/org/apache/pig/test/TestSplitIndex.java,0,0,0,0,0,0,0,114,114,0,0,0,0,0,0,,15.2
src/org/apache/pig/backend/hadoop/executionengine/tez/MultiQueryOptimizerTez.java,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0.133333333
src/org/apache/pig/builtin/REGEX_EXTRACT.java,0,0,0,0,0,0,0,0,29,0,6,0,0,0,0,,2.333333333
test/org/apache/pig/test/TestNativeMapReduce.java,0,0,0,0,0,549,558,0,38,0,7,0,0,0,0,,76.8
contrib/zebra/src/java/org/apache/hadoop/zebra/mapred/TableInputFormat.java,0,0,0,0,0,0,0,0,0,0,1121,1121,0,0,0,,149.4666667
src/org/apache/pig/builtin/DoubleAvg.java,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,,3.066666667
test/org/apache/pig/test/data/GoldenFiles/tez/TEZC-Union-8.gld,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,0.266666667
contrib/zebra/src/test/e2e/streaming/complex.txt,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,0.533333333
test/org/apache/pig/test/TestPOCross.java,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,,8.066666667
