Class,Xerces-J_1_1_0,Xerces-J_1_2_0,Xerces-J_1_3_0,Xerces-J_1_4_0,Xerces-J_2_0_0,Xerces-J_2_1_0,Xerces-J_2_2_0,Xerces-J_2_3_0,Xerces-J_2_4_0,Xerces-J_2_5_0,Xerces-J_2_6_0,Xerces-J_2_7_0,Xerces-J_2_8_0,Xerces-J_2_9_0,Xerces-J_2_10_0,Xerces-J_2_11_0,Xerces-J_2_12_0,,average
src/org/apache/xerces/impl/xs/XSParticleDecl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,0.294117647
src/org/apache/xerces/impl/XML11NSDocumentScannerImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,0.294117647
src/org/apache/html/dom/HTMLCollectionImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,,1.176470588
src/org/apache/xerces/dom/DeferredDocumentImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,2,0,,2.882352941
src/org/apache/xerces/impl/xs/XSElementDecl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,,1
src/org/apache/xerces/impl/dv/xs/DateDV.java,0,0,0,0,0,0,0,0,0,0,0,24,0,0,6,0,0,,1.764705882
src/org/apache/xml/serialize/EncodingInfo.java,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,,10.76470588
src/org/apache/xerces/dom/ElementNSImpl.java,0,0,0,0,0,0,0,0,0,0,0,26,0,0,31,0,0,,3.352941176
src/org/apache/xerces/impl/xs/XSWildcardDecl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,,1.176470588
src/org/apache/xerces/dom/RangeImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,,7.823529412
src/org/apache/xerces/util/DOMErrorHandlerWrapper.java,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,,10.82352941
src/org/apache/xerces/impl/XMLEntityManager.java,0,0,0,0,0,0,0,0,0,0,0,84,0,0,70,0,33,,11
src/org/apache/xerces/impl/xs/XSElementDeclHelper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,,1.764705882
src/org/apache/html/dom/HTMLTableElementImpl.java,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,0.705882353
src/org/apache/xerces/jaxp/validation/DOMResultBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0.117647059
src/org/apache/xerces/impl/XMLEntityScanner.java,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,0.352941176
src/org/apache/xerces/impl/xs/traversers/XSDAttributeTraverser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,0.352941176
src/org/apache/xerces/impl/dv/xs/YearMonthDV.java,0,0,0,0,0,0,0,0,0,0,0,24,0,0,6,0,0,,1.764705882
src/org/apache/xerces/dom/DOMNormalizer.java,0,0,0,0,0,0,0,0,0,0,0,60,36,0,316,0,29,,25.94117647
src/manifest.xerces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0.117647059
src/org/apache/xerces/dom/AttributeMap.java,0,0,0,0,0,0,0,0,0,0,0,0,33,9,0,0,0,,2.470588235
src/org/apache/xerces/impl/xs/models/XSCMRepeatingLeaf.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,,2.764705882
src/org/apache/xerces/impl/dv/xs/YearDV.java,0,0,0,0,0,0,0,0,0,0,0,28,0,0,15,0,0,,2.529411765
src/org/apache/xerces/impl/dv/xs/TimeDV.java,0,0,0,0,0,0,0,0,0,0,0,35,0,0,8,0,0,,2.529411765
src/org/apache/xerces/impl/dtd/DTDGrammar.java,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,,1.235294118
src/org/apache/xerces/util/XMLErrorCode.java,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,,4.764705882
src/org/apache/xerces/impl/msg/XMLSchemaMessages.properties,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,,0.294117647
