Class,release-1.1,release-1.2,release-1.3,release-1.4,release-1.5,release-1.6,release-1.7,release-1.8,release-1.9,release-1.10,release-1.12,release-1.13,release-1.14,release-1.15,release-1.16,release-1.17,release-1.18,release-2.0,release-2.1,release-2.2,release-2.3,release-2.4,average
src/plugin/protocol-okhttp/src/java/org/apache/nutch/protocol/okhttp/OkHttpResponse.java,0,0,0,0,0,0,0,0,0,0,0,0,0,114,100,0,0,0,0,0,0,0,9.727272727
src/plugin/urlmeta/src/java/org/apache/nutch/scoring/urlmeta/URLMetaScoringFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.090909091
src/plugin/tld/src/test/org/apache/nutch/indexer/tld/TestTLDIndexingFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.090909091
src/plugin/protocol-httpclient/src/java/org/apache/nutch/protocol/httpclient/HttpBasicAuthentication.java,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0.363636364
src/java/org/apache/nutch/scoring/webgraph/LinkDumper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1.090909091
src/plugin/index-geoip/src/java/org/apache/nutch/indexer/geoip/GeoIPIndexingFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,3,0,106,0,0,0,0,0,0,0,4.954545455
src/plugin/protocol-http/src/test/org/apache/nutch/protocol/http/TestProtocolHttp.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.227272727
src/java/org/apache/nutch/scoring/webgraph/ScoreUpdater.java,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.727272727
src/plugin/urlfilter-domain/src/java/org/apache/nutch/urlfilter/domain/DomainURLFilter.java,0,0,8,0,2,0,0,0,0,0,5,0,10,0,0,138,75,0,0,0,0,11,11.31818182
src/plugin/protocol-httpclient/src/java/org/apache/nutch/protocol/httpclient/HttpResponse.java,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0.954545455
src/java/org/apache/nutch/indexer/solr/SolrWriter.java,0,11,2,33,0,8,0,0,0,0,0,0,0,0,0,0,0,37,4,2,0,0,4.409090909
src/java/org/apache/nutch/fetcher/FetcherThread.java,0,0,0,0,0,0,0,0,0,0,7,0,189,300,0,55,0,0,0,0,0,0,25.04545455
src/java/org/apache/nutch/api/impl/RAMConfManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.136363636
src/plugin/microformats-reltag/src/test/org/apache/nutch/microformats/reltag/TestRelTagParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.090909091
src/java/org/apache/nutch/scoring/webgraph/LinkRank.java,8,0,0,0,10,0,0,0,0,0,0,0,0,73,76,0,0,0,0,0,0,0,7.590909091
src/plugin/tld/src/java/org/apache/nutch/scoring/tld/TLDScoringFilter.java,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318181818
src/java/org/apache/nutch/crawl/DbUpdateReducer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,7,18,27,3.454545455
src/plugin/protocol-http/src/test/org/apache/nutch/protocol/http/TestBadServerResponses.java,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,22.72727273
