Class,rel/1.2,rel/1.3,rel/1.4,rel/1.5,rel/1.6.0,rel/1.7.0,rel/1.8.0,rel/1.9.0,rel/1.10.0,rel/1.10.12,,average
src/main/org/apache/tools/ant/util/LazyFileOutputStream.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/Concat.java,0,0,0,0,0,0,0,22,0,0,,2.2
src/etc/testcases/filters/input/stripjavacomments.test,0,0,0,0,30,0,0,0,0,0,,3
docs/manual/CoreTasks/tar.html,0,0,0,0,0,0,38,0,0,0,,3.8
docs/manual/conceptstypeslist.html,0,0,0,0,2,0,0,0,0,0,,0.2
manual/Tasks/clearcase.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/Native2Ascii.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/Parameterizable.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/zip/ExtraFieldUtils.java,0,0,0,0,0,0,0,6,0,0,,0.6
docs/nightlies.html,0,0,0,0,0,0,0,44,0,0,,4.4
src/main/org/apache/tools/ant/util/depend/bcel/FullAnalyzer.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/Move.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/testcases/org/apache/tools/ant/taskdefs/optional/junit/Sleeper.java,0,0,0,0,0,39,0,0,0,0,,3.9
src/main/org/apache/tools/ant/util/ResourceUtils.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/HostInfo.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/util/UUEncoder.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4OutputStream.java,0,0,0,0,118,0,0,0,0,0,,11.8
src/main/org/apache/tools/ant/helper/ProjectHelper2.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/ssh/SSHBase.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/XmlProperty.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/resources/selectors/Name.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/unix/Chgrp.java,0,0,0,0,0,0,0,4,0,0,,0.4
manual/Tasks/sql.html,0,0,0,0,0,0,0,4,0,0,,0.4
src/main/org/apache/tools/ant/Diagnostics.java,0,0,0,0,0,0,0,3,0,0,,0.3
manual/Tasks/javadoc.html,0,0,0,0,0,0,0,0,0,73,,7.3
src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java,0,0,0,0,0,61,0,14,0,0,,7.5
src/etc/testcases/taskdefs/get.xml,0,0,0,0,0,0,0,0,0,36,,3.6
src/main/org/apache/tools/ant/taskdefs/rmic/RmicAdapter.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/mail/ErrorInQuitException.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitVersionHelper.java,0,0,0,0,0,4,0,0,0,0,,0.4
src/etc/testcases/filters/expected/replacetokens.test,0,0,0,0,2,0,0,0,0,0,,0.2
src/tests/antunit/types/path-test.xml,0,0,0,0,0,0,25,0,0,0,,2.5
docs/manual/CoreTasks/subant.html,0,0,0,0,0,74,0,0,0,0,,7.4
src/main/org/apache/tools/ant/taskdefs/SQLExec.java,0,0,0,0,0,0,0,12,0,0,,1.2
src/main/org/apache/tools/ant/types/Environment.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/extension/resolvers/URLResolver.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/antunit/taskdefs/optional/depend/depend-test.xml,0,0,0,0,0,0,70,0,0,0,,7
src/script/ant.bat,0,0,0,0,0,0,3,1,0,0,,0.4
src/etc/testcases/taskdefs/optional/junit.xml,0,0,0,0,0,27,0,0,0,0,,2.7
src/main/org/apache/tools/ant/taskdefs/optional/SchemaValidate.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTestRunner.java,0,0,0,0,0,90,0,2,0,0,,9.2
src/main/org/apache/tools/ant/taskdefs/Javac.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/resources/Files.java,0,0,0,0,0,0,6,0,0,0,,0.6
manual/Tasks/depend.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/Project.java,0,0,0,0,0,0,6,0,0,0,,0.6
manual/Tasks/zip.html,0,0,0,0,0,0,0,4,0,0,,0.4
docs/manual/CoreTasks/loadproperties.html,0,0,0,0,10,0,0,0,0,0,,1
src/tests/junit/org/apache/tools/ant/taskdefs/PropertyTest.java,0,0,0,0,0,0,11,0,0,0,,1.1
src/main/org/apache/tools/ant/taskdefs/optional/extension/Extension.java,0,0,0,0,0,0,0,6,0,0,,0.6
src/main/org/apache/tools/ant/types/AbstractFileSet.java,0,0,0,0,21,0,0,4,0,0,,2.5
src/main/org/apache/tools/ant/taskdefs/optional/unix/Chown.java,0,0,0,0,0,0,0,4,0,0,,0.4
manual/proxy.html,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/CoreTasks/war.html,0,0,0,0,4,0,0,0,0,0,,0.4
src/testcases/org/apache/tools/ant/taskdefs/ZipTest.java,0,0,0,0,20,0,0,0,0,0,,2
docs/manual/CoreTasks/ear.html,0,0,0,0,4,0,0,0,0,0,,0.4
manual/Tasks/vss.html,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/junit/AggregateTransformer.java,0,0,0,0,0,3,0,0,0,0,,0.3
src/testcases/org/apache/tools/tar/TarEntryTest.java,0,0,0,0,74,0,0,0,0,0,,7.4
src/main/org/apache/tools/ant/util/UnicodeUtil.java,0,0,0,0,0,0,0,42,0,0,,4.2
src/main/org/apache/tools/ant/taskdefs/SignJar.java,0,0,0,0,0,90,0,0,0,0,,9
