Class,activemq-4.1.0,activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-5.3.0,activemq-5.4.0,activemq-5.5.0,activemq-5.6.0,activemq-5.7.0,activemq-5.8.0,activemq-5.9.0,activemq-5.10.0,activemq-5.11.0,activemq-5.12.0,activemq-5.13.0,activemq-5.14.0,activemq-5.15.0,activemq-5.16.0,activemq-5.17.0,,average
activemq-core/src/test/java/org/apache/activemq/transport/stomp/StompConnection.java,0,83,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.210526316
activemq-test-atomikos/src/test/java/org/apache/activemq/atomikos/XATest.java,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.473684211
activemq-client/src/main/java/org/apache/activemq/openwire/v11/RemoveSubscriptionInfoMarshaller.java,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,,7.315789474
activemq-core/src/test/java/org/apache/activemq/kaha/impl/index/VMIndexLinkedListTest.java,3,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.36842105
activemq-cpp/src/test/activemq/network/SocketFactoryTest.h,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.894736842
activemq-core/src/test/resources/org/apache/activemq/security/activemq-openldap-legacy-add.ldif,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,,2.473684211
activemq-core/src/main/java/org/apache/activemq/state/ConnectionStateTracker.java,347,0,0,2,32,128,43,18,0,4,0,0,0,0,0,0,0,0,0,,30.21052632
activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ4487Test.java,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,,7.947368421
assembly/src/release/webapps/api/WEB-INF/web.xml,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,,0.947368421
activemq-broker/src/main/java/org/apache/activemq/broker/Broker.java,0,0,0,0,0,0,0,0,0,0,89,0,8,0,0,0,0,0,0,,5.105263158
activemq-tooling/activemq-junit/src/main/java/org/apache/activemq/junit/RepeatStatement.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,,7.736842105
activemq-camel/src/main/java/org/apache/activemq/camel/component/ActiveMQConfiguration.java,0,0,0,0,2,25,0,0,0,0,0,0,0,13,0,0,0,0,203,,12.78947368
activemq-soaktest/project.properties,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.894736842
activemq-core/src/main/java/org/apache/activemq/selector/package.html,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.842105263
activemq-ra/src/main/java/org/apache/activemq/ra/ServerSessionPoolImpl.java,0,6,183,22,0,0,0,0,0,0,0,37,0,0,0,17,0,15,0,,14.73684211
activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreDurableSubscriberCursor.java,299,96,26,20,15,0,10,33,1,0,0,0,0,0,0,0,0,0,0,,26.31578947
activemq-core/src/main/java/org/apache/activemq/openwire/v4/ConsumerIdMarshaller.java,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.315789474
activemq-web-demo/src/test/java/org/apache/activemq/web/AjaxTest.java,0,0,0,0,0,0,631,0,63,0,0,11,0,0,457,0,0,0,0,,61.15789474
activemq-jms-pool/src/test/java/org/apache/activemq/jms/pool/PooledConnectionTempQueueTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,,0.842105263
activemq-stomp/pom.xml,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,0.421052632
activemq-core/src/main/java/org/apache/activemq/transport/discovery/DiscoveryTransportFactory.java,0,0,2,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,0.578947368
activemq-broker/src/main/java/org/apache/activemq/filter/XalanXPathEvaluator.java,0,0,0,0,0,0,0,0,0,0,0,85,37,0,0,0,0,0,0,,6.421052632
activemq-client/src/main/java/org/apache/activemq/thread/TaskRunnerFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,50,0,0,,3.368421053
activemq-amqp/src/main/java/org/apache/activemq/transport/amqp/message/InboundTransformer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,164,2,0,,9.368421053
activemq-jdbc-store/src/main/resources/META-INF/services/org/apache/activemq/store/jdbc/postgresql_jdbc_driver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,,1.789473684
activemq-unit-tests/.gitignore,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,0.157894737
activemq-core/src/test/java/org/apache/activemq/openwire/v5/TransactionIdTestSupport.java,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.473684211
activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQJmsHeaderRouteTest.java,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,99,,6.210526316
activemq-leveldb-store/src/main/scala/org/apache/activemq/leveldb/replicated/ProxyLevelDBStore.scala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,,0.210526316
activemq-unit-tests/src/test/java/org/apache/activemq/advisory/TempQueueMemoryTest.java,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,,1.578947368
activemq-core/src/test/java/org/apache/activemq/transport/stomp/Stomp11NIOSSLTest.java,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,,2.315789474
activemq-mqtt/src/main/java/org/apache/activemq/transport/mqtt/MQTTPacketIdGenerator.java,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,,9.263157895
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v8/ControlCommandMarshaller.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.052631579
activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/ReadOnlyAsyncDataManager.java,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.105263158
activemq-client/src/main/java/org/apache/activemq/transport/tcp/SslTransportFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,0.526315789
activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ6293Test.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,,10.47368421
activemq-core/src/test/java/org/apache/activemq/transport/StubTransport.java,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.315789474
activemq-http/src/test/java/org/apache/activemq/transport/ws/StompWSTransportTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,32,0,0,,3
activemq-core/src/main/java/org/apache/activemq/store/amq/AMQMessageStore.java,0,2,20,7,145,15,5,0,0,0,0,0,0,0,0,0,0,0,0,,10.21052632
